dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,162.999990,80.015901,0.001970,0.196970,9.848485,492.424242,4.713612
0.020000,162.999993,80.013577,0.004294,0.116229,-4.037016,-694.275063,4.713433
0.020000,162.999997,80.008345,0.009526,0.261592,7.268152,565.258405,4.713031
0.020000,163.000000,79.995783,0.022089,0.628120,18.326399,552.912349,4.712315
0.020000,162.999959,79.931979,0.085893,3.190203,128.104107,5488.885421,4.711195
0.020000,162.999775,79.840046,0.177825,4.596636,70.321665,-2889.122121,4.709578
0.020000,162.999298,79.717385,0.300488,6.133116,76.823999,325.116717,4.707415
0.020000,162.998326,79.563907,0.453969,7.674054,77.046911,11.145584,4.704699
0.020000,162.996606,79.379506,0.638377,9.220416,77.318078,13.558374,4.701424
0.020000,162.993830,79.164083,0.853819,10.772075,77.582962,13.244215,4.697579
0.020000,162.989633,78.917502,1.100435,12.330849,77.938701,17.786952,4.693153
0.020000,162.983589,78.639592,1.378410,13.898742,78.394639,22.796873,4.688134
0.020000,162.975214,78.330198,1.687918,15.475385,78.832179,21.877000,4.682508
0.020000,162.963954,77.989144,2.029158,17.062010,79.331260,24.954028,4.676258
0.020000,162.949189,77.616216,2.402378,18.661009,79.949945,30.934266,4.669367
0.020000,162.930225,77.211228,2.807810,20.271585,80.528776,28.941553,4.661816
0.020000,162.906290,76.773955,3.245738,21.896374,81.239455,35.533964,4.653584
0.020000,162.876530,76.304179,3.716455,23.535852,81.973885,36.721492,4.644648
0.020000,162.840003,75.801695,4.220265,25.190537,82.734256,38.018552,4.634984
0.020000,162.795674,75.266275,4.757517,26.862575,83.601932,43.383778,4.624566
0.020000,162.742411,74.697733,5.328548,28.551579,84.450192,42.413008,4.613367
0.020000,162.678975,74.095882,5.933733,30.259218,85.381963,46.588546,4.601360
0.020000,162.604020,73.460570,6.573452,31.985943,86.336233,47.713497,4.588514
0.020000,162.516083,72.791688,7.248089,33.731886,87.297153,48.046012,4.574800
0.020000,162.413584,72.089167,7.958049,35.497966,88.303985,50.341630,4.560187
0.020000,162.294819,71.353021,8.703714,37.283241,89.263743,47.987855,4.544646
0.020000,162.157957,70.583335,9.485473,39.087967,90.236289,48.627296,4.528147
0.020000,162.001046,69.780303,10.303691,40.910890,91.146177,45.494408,4.510660
0.020000,161.822008,68.944247,11.158702,42.750583,91.984642,41.923279,4.492162
0.020000,161.618650,68.075627,12.050809,44.605337,92.737683,37.652016,4.472628
0.020000,161.388673,67.175095,12.980243,46.471722,93.319280,29.079890,4.452041
0.020000,161.129682,66.243485,13.947184,48.347001,93.763953,22.233613,4.430387
0.020000,160.839219,65.281881,14.951699,50.225759,93.937904,8.697585,4.407660
0.020000,160.514777,64.291615,15.993759,52.103024,93.863229,-3.733749,4.383863
0.020000,160.153841,63.274296,17.073210,53.972522,93.474919,-19.415498,4.359008
0.020000,159.753930,62.231846,18.189736,55.826302,92.688965,-39.297723,4.333119
0.020000,159.312645,61.166499,19.342860,57.656203,91.495095,-59.693477,4.306233
0.020000,158.827718,60.080804,20.531931,59.453560,89.867828,-81.363380,4.278399
0.020000,158.297078,58.977635,21.756087,61.207820,87.712986,-107.742103,4.249685
0.020000,157.718902,57.860155,23.014280,62.909641,85.091082,-131.095201,4.220170
0.020000,157.091681,56.731790,24.305254,64.548680,81.951919,-156.958152,4.189951
0.020000,156.414262,55.596175,25.627569,66.115787,78.355388,-179.826526,4.159140
0.020000,155.685895,54.457095,26.979614,67.602208,74.321035,-201.717677,4.127859
0.020000,154.906259,53.318400,28.359634,69.001013,69.940250,-219.039227,4.096245
0.020000,154.075477,52.183935,29.765767,70.306651,65.281898,-232.917580,4.064440
0.020000,153.194105,51.057441,31.196084,71.515848,60.459820,-241.103935,4.032593
0.020000,152.263109,49.942473,32.648636,72.627602,55.587708,-243.605567,4.000853
0.020000,151.283825,48.842324,34.121498,73.643124,50.776097,-240.580558,3.969370
0.020000,150.257903,47.759957,35.612818,74.565971,46.142377,-231.686010,3.938284
0.020000,149.187243,46.697954,37.120851,75.401634,41.783160,-217.960872,3.907732
0.020000,148.073926,45.658485,38.643996,76.157275,37.782038,-200.056091,3.877835
0.020000,146.920141,44.643290,40.180824,76.841377,34.205100,-178.846901,3.848704
0.020000,145.728130,43.653687,41.730084,77.463011,31.081673,-156.171320,3.820436
0.020000,144.500114,42.690577,43.290725,78.032074,28.453153,-131.426038,3.793110
0.020000,143.238263,41.754485,44.861883,78.557885,26.290581,-108.128602,3.766794
0.020000,141.946682,40.846979,46.440411,78.926385,18.424978,-393.280142,3.741577
0.020000,140.631428,39.970385,48.021015,79.030232,5.192376,-661.630096,3.717565
0.020000,139.298428,39.126276,49.598801,78.889281,-7.047552,-611.996408,3.694831
0.020000,137.953428,38.315591,51.169226,78.521264,-18.400858,-567.665291,3.673420
0.020000,136.601971,37.538747,52.728047,77.941061,-29.010175,-530.465818,3.653358
0.020000,135.249362,36.795744,54.271292,77.162234,-38.941358,-496.559154,3.634645
0.020000,133.898642,36.085214,55.797495,76.310149,-42.604231,-183.143683,3.617243
0.020000,132.550613,35.404723,57.307545,75.502516,-40.381626,111.130255,3.601084
0.020000,131.205924,34.751981,58.802289,74.737199,-38.265871,105.787763,3.586103
0.020000,129.865092,34.124837,60.282539,74.012491,-36.235418,101.522619,3.572236
0.020000,128.528538,33.521283,61.749050,73.325540,-34.347509,94.395461,3.559427
0.020000,127.291958,32.981519,63.098300,67.462522,-293.150941,-12940.171606,3.546361
0.020000,125.908430,32.401347,64.598550,75.012473,377.497554,33532.424778,3.530956
0.020000,124.515784,31.842443,66.099162,75.030598,0.906274,-18829.564003,3.515523
0.020000,123.114557,31.305060,67.599901,75.036976,0.318908,-29.368318,3.500081
0.020000,121.705306,30.789414,69.100527,75.031292,-0.284217,-30.156234,3.484647
0.020000,120.288611,30.295680,70.600794,75.013317,-0.898746,-30.726455,3.469240
0.020000,118.865065,29.823989,72.100452,74.982911,-1.520317,-31.078548,3.453881
0.020000,117.435267,29.374428,73.599260,74.940432,-2.123957,-30.182026,3.438587
0.020000,115.999835,28.947042,75.096966,74.885305,-2.756331,-31.618657,3.423377
0.020000,114.559393,28.541830,76.593319,74.817625,-3.384012,-31.384085,3.408272
0.020000,113.114557,28.158743,78.088078,74.737972,-3.982656,-29.932183,3.393289
0.020000,111.665940,27.797687,79.581013,74.646739,-4.561614,-28.947894,3.378447
0.020000,110.214164,27.458527,81.071879,74.543303,-5.171821,-30.510352,3.363764
0.020000,108.759820,27.141081,82.560466,74.429327,-5.698811,-26.349529,3.349257
0.020000,107.303510,26.845126,84.046544,74.303906,-6.271011,-28.609994,3.334942
0.020000,105.845798,26.570398,85.529918,74.168710,-6.759813,-24.440066,3.320835
0.020000,104.387252,26.316598,87.010381,74.023164,-7.277309,-25.874810,3.306952
0.020000,102.928398,26.083385,88.487758,73.868840,-7.716220,-21.945552,3.293307
0.020000,101.469759,25.870389,89.961867,73.705415,-8.171215,-22.749766,3.279913
0.020000,100.011822,25.677208,91.432547,73.534006,-8.570455,-19.961974,3.266783
0.020000,98.555049,25.503410,92.899650,73.355161,-8.942269,-18.590710,3.253928
0.020000,97.099883,25.348538,94.363035,73.169237,-9.296189,-17.696030,3.241359
0.020000,95.646730,25.212113,95.822577,72.977115,-9.606107,-15.495859,3.229086
0.020000,94.195974,25.093634,97.278163,72.779306,-9.890460,-14.217688,3.217117
0.020000,92.747970,24.992584,98.729689,72.576302,-10.150207,-12.987328,3.205461
0.020000,91.303042,24.908429,100.177065,72.368789,-10.375602,-11.269743,3.194124
0.020000,89.861489,24.840626,101.620212,72.157336,-10.572662,-9.852984,3.183112
0.020000,88.423582,24.788618,103.059059,71.942359,-10.748863,-8.810058,3.172431
0.020000,86.989565,24.751842,104.493547,71.724437,-10.896093,-7.361500,3.162085
0.020000,85.559655,24.729729,105.923628,71.504038,-11.019982,-6.194473,3.152078
0.020000,84.134046,24.721707,107.349260,71.281577,-11.123041,-5.152934,3.142414
0.020000,82.712907,24.727199,108.770409,71.057482,-11.204758,-4.085851,3.133094
0.020000,81.296385,24.745631,110.187052,70.832127,-11.267712,-3.147704,3.124121
0.020000,79.884604,24.776427,111.599168,70.605816,-11.315587,-2.393737,3.115497
0.020000,78.477670,24.819015,113.006747,70.378924,-11.344575,-1.449404,3.107221
0.020000,77.075668,24.872824,114.409781,70.151704,-11.361011,-0.821833,3.099295
0.020000,75.678668,24.937290,115.808268,69.924353,-11.367562,-0.327532,3.091719
0.020000,74.286721,25.011850,117.202211,69.697144,-11.360424,0.356899,3.084492
0.020000,72.899863,25.095949,118.591616,69.470274,-11.343528,0.844793,3.077615
0.020000,71.518118,25.189039,119.976493,69.243840,-11.321686,1.092097,3.071086
0.020000,70.141498,25.290577,121.356853,69.017992,-11.292377,1.465479,3.064904
0.020000,68.770000,25.400025,122.732711,68.792902,-11.254531,1.892299,3.059069
0.020000,67.403614,25.516857,124.104082,68.568569,-11.216640,1.894532,3.053578
0.020000,66.042321,25.640549,125.470984,68.345064,-11.175237,2.070176,3.048432
0.020000,64.686091,25.770587,126.833434,68.122509,-11.127774,2.373112,3.043628
0.020000,63.334889,25.906464,128.191450,67.900824,-11.084223,2.177588,3.039165
0.020000,61.988674,26.047680,129.545051,67.680057,-11.038354,2.293424,3.035042
0.020000,60.647399,26.193742,130.894256,67.460243,-10.990699,2.382761,3.031257
0.020000,59.311013,26.344164,132.239081,67.241254,-10.949445,2.062673,3.027809
0.020000,57.979460,26.498467,133.579544,67.023149,-10.905273,2.208634,3.024696
0.020000,56.652684,26.656178,134.915661,66.805855,-10.864715,2.027864,3.021918
0.020000,55.330624,26.816831,136.247446,66.589241,-10.830659,1.702815,3.019473
0.020000,54.013219,26.979966,137.574913,66.373359,-10.794111,1.827412,3.017360
0.020000,52.700407,27.145129,138.898074,66.158043,-10.765797,1.415710,3.015578
0.020000,51.392125,27.311870,140.216939,65.943240,-10.740153,1.282177,3.014127
0.020000,50.088311,27.479746,141.531517,65.728879,-10.718032,1.106058,3.013006
0.020000,48.789431,27.648250,142.841280,65.488193,-12.034307,-65.813771,3.012214
0.020000,47.497906,27.816624,144.143735,65.122702,-18.274567,-312.012987,3.011752
0.020000,46.217553,27.983930,145.434973,64.561912,-28.039475,-488.245405,3.011616
0.020000,44.952141,28.149252,146.711139,63.808291,-37.681061,-482.079297,3.011801
0.020000,43.705395,28.311704,147.968424,62.864258,-47.201678,-476.030844,3.012296
0.020000,42.480998,28.470441,149.203067,61.732167,-56.604512,-470.141721,3.013087
0.020000,41.282078,28.624739,150.411876,60.440446,-64.586058,-399.077291,3.014159
0.020000,40.109806,28.774174,151.593634,59.087891,-67.627771,-152.085642,3.015493
0.020000,38.963948,28.918543,152.748550,57.745818,-67.103622,26.207460,3.017074
0.020000,37.844282,29.057683,153.876829,56.413946,-66.593597,25.501234,3.018886
0.020000,36.750591,29.191462,154.978671,55.092107,-66.091967,25.081524,3.020913
0.020000,35.682671,29.319784,156.054273,53.780081,-65.601303,24.533202,3.023140
0.020000,34.640327,29.442579,157.103826,52.477648,-65.121644,23.982957,3.025553
0.020000,33.623369,29.559807,158.127518,51.184591,-64.652837,23.440332,3.028137
0.020000,32.631617,29.671454,159.125534,49.900836,-64.187772,23.253263,3.030878
0.020000,31.664898,29.777530,160.098056,48.626081,-63.737744,22.501375,3.033762
0.020000,30.723044,29.878068,161.045260,47.360204,-63.293860,22.194204,3.036775
