dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,137.000010,79.984099,0.001970,0.196970,9.848485,492.424242,4.713612
0.020000,137.000007,79.986423,0.004294,0.116229,-4.037016,-694.275063,4.713433
0.020000,137.000003,79.991655,0.009526,0.261592,7.268152,565.258405,4.713031
0.020000,137.000000,79.997706,0.015577,0.302555,2.048134,-261.000882,4.712315
0.020000,136.999978,79.963025,0.050258,1.734041,71.574303,3476.308456,4.711195
0.020000,136.999878,79.913134,0.100150,2.494577,38.026779,-1677.376183,4.709578
0.020000,136.999620,79.846711,0.166573,3.321189,41.330591,165.190553,4.707415
0.020000,136.999095,79.763832,0.249453,4.143999,41.140520,-9.503516,4.704699
0.020000,136.998170,79.664598,0.348692,4.961946,40.897335,-12.159268,4.701424
0.020000,136.996682,79.549140,0.464160,5.773365,40.570981,-16.317718,4.697579
0.020000,136.994443,79.417606,0.595712,6.577624,40.212941,-17.901964,4.693153
0.020000,136.991237,79.270158,0.743195,7.374160,39.826778,-19.308166,4.688134
0.020000,136.986820,79.106995,0.906418,8.161129,39.348490,-23.914377,4.682508
0.020000,136.980923,78.928342,1.085169,8.937535,38.820281,-26.410492,4.676258
0.020000,136.973247,78.734434,1.279228,9.702970,38.271739,-27.427088,4.669367
0.020000,136.963467,78.525556,1.488335,10.455362,37.619618,-32.606015,4.661816
0.020000,136.951232,78.302002,1.712224,11.194442,36.953974,-33.282221,4.653584
0.020000,136.936162,78.064102,1.950601,11.918841,36.219987,-36.699376,4.644648
0.020000,136.917855,77.812221,2.203146,12.627281,35.421961,-39.901298,4.634984
0.020000,136.895877,77.546741,2.469534,13.319373,34.604643,-40.865880,4.624566
0.020000,136.869775,77.268089,2.749406,13.993580,33.710327,-44.715822,4.613367
0.020000,136.839068,76.976712,3.042396,14.649545,32.798249,-45.603884,4.601360
0.020000,136.803250,76.673087,3.348127,15.286517,31.848618,-47.481530,4.588514
0.020000,136.761795,76.357723,3.666204,15.903877,30.867977,-49.032053,4.574800
0.020000,136.714152,76.031145,3.996239,16.501725,29.892418,-48.777962,4.560187
0.020000,136.659751,75.693910,4.337833,17.079731,28.900289,-49.606447,4.544646
0.020000,136.597999,75.346584,4.690607,17.638664,27.946663,-47.681309,4.528147
0.020000,136.528281,74.989745,5.054192,18.179253,27.029456,-45.860350,4.510660
0.020000,136.449963,74.623977,5.428250,18.702933,26.183964,-42.274592,4.492162
0.020000,136.362385,74.249853,5.812489,19.211916,25.449141,-36.741165,4.472628
0.020000,136.264861,73.867934,6.206663,19.708710,24.839710,-30.471530,4.452041
0.020000,136.156676,73.478744,6.610609,20.197286,24.428834,-20.543812,4.430387
0.020000,136.037081,73.082776,7.024244,20.681763,24.223850,-10.249210,4.407660
0.020000,135.905281,72.680459,7.447600,21.167814,24.302529,3.933962,4.383863
0.020000,135.760428,72.272152,7.880840,21.661970,24.707817,20.264410,4.359008
0.020000,135.601612,71.858139,8.324269,22.171470,25.474984,38.358336,4.333119
0.020000,135.427843,71.438607,8.778364,22.704757,26.664347,59.468135,4.306233
0.020000,135.238038,71.013645,9.243787,23.271161,28.320220,82.793650,4.278399
0.020000,135.031012,70.583246,9.721389,23.880075,30.445689,106.273476,4.249685
0.020000,134.805458,70.147305,10.212224,24.541766,33.084533,131.942203,4.220170
0.020000,134.559941,69.705637,10.717544,25.266010,36.212200,156.383321,4.189951
0.020000,134.292897,69.257992,11.238792,26.062378,39.818395,180.309766,4.159140
0.020000,134.002630,68.804081,11.777578,26.939301,43.846145,201.387512,4.127859
0.020000,133.687325,68.343607,12.335658,27.904023,48.236111,219.498276,4.096245
0.020000,133.345070,67.876297,12.914896,28.961872,52.892454,232.817163,4.064440
0.020000,132.973884,67.401941,13.517219,30.116181,57.715435,241.149081,4.032593
0.020000,132.571751,66.920412,14.144580,31.368017,62.591848,243.820615,4.000853
0.020000,132.136664,66.431703,14.798901,32.716082,67.403210,240.568089,3.969370
0.020000,131.666673,65.935935,15.482039,34.156892,72.040510,231.865029,3.938284
0.020000,131.159925,65.433370,16.195738,35.684932,76.402020,218.075482,3.907732
0.020000,130.614707,64.924405,16.941598,37.293020,80.404411,200.119541,3.877835
0.020000,130.029481,64.409564,17.721053,38.972749,83.986443,179.101633,3.848704
0.020000,129.402912,63.889479,18.535349,40.714783,87.101672,155.761421,3.820436
0.020000,128.733882,63.364859,19.385542,42.509647,89.743217,132.077242,3.793110
0.020000,128.021499,62.836470,20.272494,44.347610,91.898123,107.745347,3.766794
0.020000,127.266308,62.305931,21.195416,46.146112,89.925107,-98.650840,3.741577
0.020000,126.470512,61.775624,22.151720,47.815160,83.452435,-323.633571,3.717565
0.020000,125.636858,61.247794,23.138423,49.335173,76.000647,-372.589432,3.694831
0.020000,124.768579,60.724512,24.152194,50.688555,67.669077,-416.578476,3.673420
0.020000,123.869334,60.207668,25.189387,51.859646,58.554532,-455.727278,3.653358
0.020000,122.943131,59.698947,26.246104,52.835847,48.810059,-487.223616,3.634645
0.020000,121.992809,59.199088,27.319869,53.688237,42.619495,-309.528225,3.617243
0.020000,121.019812,58.707955,28.409793,54.496206,40.398468,-111.051331,3.601084
0.020000,120.025522,58.225340,29.515021,55.261432,38.261295,-106.858642,3.586103
0.020000,119.011241,57.750965,30.634752,55.986523,36.254547,-100.337432,3.572236
0.020000,117.978202,57.284499,31.768224,56.673627,34.355205,-94.967082,3.559427
0.020000,117.053007,56.880554,32.777758,50.476679,-309.847407,-17210.130584,3.546361
0.020000,116.038839,56.455270,33.877487,54.986447,225.488413,26766.791001,3.530956
0.020000,115.018574,56.045811,34.976849,54.968121,-0.916301,-11320.235706,3.515523
0.020000,113.992229,55.652198,36.076083,54.961668,-0.322668,29.681649,3.500081
0.020000,112.959823,55.274441,37.175429,54.967307,0.281972,30.231988,3.484647
0.020000,111.921377,54.912531,38.275133,54.985204,0.894860,30.644419,3.469240
0.020000,110.876912,54.566450,39.375442,55.015464,1.512988,30.906372,3.453881
0.020000,109.826444,54.236162,40.476611,55.058431,2.148342,31.767711,3.438587
0.020000,108.770003,53.921620,41.578884,55.113636,2.760261,30.595935,3.423377
0.020000,107.707618,53.622763,42.682503,55.180973,3.366841,30.328995,3.408272
