Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 293.000000, 198.002421, 0.002809, 0.280878, 14.043925, 702.196243, 1.570786, 
20, 293.000000, 198.014303, 0.014691, 0.594090, 15.660569, 80.832209, 1.570736, 
20, 293.000004, 198.041029, 0.041417, 1.336307, 37.110834, 1072.513272, 1.570625, 
20, 293.000016, 198.088515, 0.088903, 2.374305, 51.899900, 739.453263, 1.570429, 
20, 293.000055, 198.162643, 0.163031, 3.706392, 66.604375, 735.223771, 1.570129, 
20, 293.000148, 198.269239, 0.269627, 5.329809, 81.170855, 728.323991, 1.569707, 
20, 293.000346, 198.414048, 0.414436, 7.240475, 95.533308, 718.122652, 1.569155, 
20, 293.000714, 198.599759, 0.600148, 9.285573, 102.254860, 336.077592, 1.568481, 
20, 293.001326, 198.826021, 0.826410, 11.313121, 101.377419, -43.872053, 1.567713, 
20, 293.002260, 199.092407, 1.092798, 13.319378, 100.312864, -53.227749, 1.566883, 
20, 293.003591, 199.398417, 1.398811, 15.300670, 99.064614, -62.412488, 1.566030, 
20, 293.005383, 199.743480, 1.743879, 17.253381, 97.635545, -71.453471, 1.565198, 
20, 293.007682, 200.126952, 2.127357, 19.173930, 96.027425, -80.405962, 1.564435, 
20, 293.010502, 200.548117, 2.548532, 21.058736, 94.240283, -89.357130, 1.563798, 
20, 293.013821, 201.006189, 3.006615, 22.904169, 92.271680, -98.430142, 1.563347, 
20, 293.017564, 201.500304, 3.500745, 24.706487, 90.115911, -107.788463, 1.563147, 
20, 293.021595, 202.029524, 4.029980, 26.461749, 87.763090, -117.641015, 1.563272, 
20, 293.025704, 202.592823, 4.593294, 28.165712, 85.198123, -128.248364, 1.563801, 
20, 293.029595, 203.189084, 5.189568, 29.813702, 82.399510, -139.930660, 1.564818, 
20, 293.032876, 203.817085, 5.817578, 31.400461, 79.337954, -153.077819, 1.566420, 
20, 293.035039, 204.475481, 6.475977, 32.919955, 75.974697, -168.162809, 1.568709, 
20, 293.035454, 205.162783, 7.163280, 34.365145, 72.259522, -185.758783, 1.571799, 
20, 293.033352, 205.877334, 7.877834, 35.727711, 68.128295, -206.561313, 1.575818, 
20, 293.027814, 206.617268, 8.617788, 36.997711, 63.499972, -231.416164, 1.580907, 
20, 293.017756, 207.380465, 9.381052, 38.163169, 58.272897, -261.353760, 1.587229, 
20, 293.001924, 208.164497, 10.165243, 39.209574, 52.320296, -297.630064, 1.594965, 
20, 292.978882, 208.966551, 10.967628, 40.119272, 45.484855, -341.772014, 1.604327, 
20, 292.947016, 209.783344, 11.785043, 40.870720, 37.572417, -395.621939, 1.615557, 
20, 292.904542, 210.611008, 12.613795, 41.437621, 28.345050, -461.368307, 1.628940, 
20, 292.849536, 211.444954, 13.449553, 41.787909, 17.514391, -541.532954, 1.644809, 
20, 292.779985, 212.279714, 14.287206, 41.882652, 4.737161, -638.861541, 1.663556, 
20, 292.693881, 213.108755, 15.120706, 41.674993, -10.382924, -756.004233, 1.685648, 
20, 292.589374, 213.924274, 15.942895, 41.109420, -28.278665, -894.787032, 1.711634, 
20, 292.465004, 214.717017, 16.745334, 40.121962, -49.372918, -1054.712655, 1.742163, 
20, 292.320054, 215.476152, 17.518183, 38.642467, -73.974743, -1230.091246, 1.777992, 
20, 292.155012, 216.189324, 18.250203, 36.601005, -102.073111, -1404.918394, 1.819987, 
20, 291.972146, 216.843064, 18.929038, 33.941737, -132.963375, -1544.513227, 1.869096, 
20, 291.776053, 217.423832, 19.542018, 30.648969, -164.638423, -1583.752373, 1.926294, 
20, 291.573855, 217.920017, 20.077820, 26.790100, -192.943429, -1415.250317, 1.992453, 
20, 291.374424, 218.325092, 20.529326, 22.575345, -210.737740, -889.715555, 2.068120, 
20, 291.185792, 218.641505, 20.897700, 18.418662, -207.834181, 145.177972, 2.153207, 
20, 291.010281, 218.883738, 21.196834, 14.956692, -173.098485, 1736.784797, 2.246645, 
20, 290.838461, 219.077841, 21.456060, 12.961331, -99.768048, 3666.521820, 2.346178, 
20, 290.645368, 219.255373, 21.718362, 13.115100, 7.688422, 5372.823519, 2.448498, 
20, 290.393008, 219.443321, 22.033020, 15.732914, 130.890719, 6160.114864, 2.549814, 
20, 290.039495, 219.655505, 22.445323, 20.615150, 244.111805, 5661.054285, 2.646642, 
20, 289.549966, 219.890424, 22.988302, 27.148936, 326.689319, 4128.875694, 2.736441, 
20, 288.903358, 220.135453, 23.679779, 34.573848, 371.245563, 2227.812193, 2.817842, 
20, 288.094449, 220.373032, 24.522856, 42.153832, 378.999228, 387.683282, 2.890390, 
20, 287.131454, 220.586167, 25.509155, 49.314959, 358.056313, -1047.145774, 2.954299, 
20, 286.030360, 220.761812, 26.624169, 55.750724, 321.788293, -1813.401001, 3.010253, 
20, 284.810628, 220.891597, 27.850787, 61.330873, 279.007436, -2139.042860, 3.059137, 
20, 283.492325, 220.971301, 29.171498, 66.035537, 235.233213, -2188.711129, 3.101864, 
20, 282.094558, 220.999891, 30.569557, 69.902970, 193.371629, -2093.079208, 3.139291, 
20, 280.688710, 220.978019, 31.975575, 70.300903, 19.896632, -8673.749835, 3.176075, 
20, 279.359035, 220.905103, 33.307247, 66.583622, -185.864039, -10288.033570, 3.218045, 
20, 278.125291, 220.781826, 34.547135, 61.994376, -229.462279, -2179.912009, 3.266051, 
20, 277.007475, 220.611926, 35.677790, 56.532730, -273.082325, -2181.002311, 3.321002, 
20, 276.025247, 220.403172, 36.681955, 50.208285, -316.222213, -2156.994364, 3.383793, 
20, 275.195267, 220.167985, 37.544614, 43.132950, -353.766783, -1877.228508, 3.455149, 
20, 274.527065, 219.922940, 38.256331, 35.585835, -377.355763, -1179.448988, 3.535363, 
20, 274.017447, 219.685781, 38.818430, 28.104945, -374.044471, 165.564583, 3.624091, 
20, 273.647523, 219.470172, 39.246601, 21.408561, -334.819199, 1961.263617, 3.720098, 
20, 273.384024, 219.279445, 39.571884, 16.264151, -257.220516, 3879.934153, 3.820996, 
20, 273.185413, 219.101869, 39.838303, 13.320964, -147.159329, 5503.059334, 3.923398, 
20, 273.012545, 218.911831, 40.095204, 12.845020, -23.797237, 6168.104602, 4.023509, 
20, 272.838405, 218.677769, 40.386939, 14.586765, 87.087270, 5544.225332, 4.117916, 
20, 272.651601, 218.372426, 40.744892, 17.897662, 165.544842, 3922.878598, 4.204203, 
20, 272.453227, 217.979632, 41.184937, 22.002222, 205.228025, 1984.159171, 4.281152, 
20, 272.250879, 217.495461, 41.709691, 26.237701, 211.773923, 327.294874, 4.348560, 
20, 272.053513, 216.925467, 42.312888, 30.159844, 196.107155, -783.338370, 4.406910, 
20, 271.868561, 216.280785, 42.983575, 33.534382, 168.726910, -1369.012256, 4.457045, 
20, 271.700960, 215.574836, 43.709146, 36.278544, 137.208080, -1575.941491, 4.499934, 
20, 271.553262, 214.821177, 44.477142, 38.399788, 106.062224, -1557.292820, 4.536537, 
20, 271.426158, 214.032343, 45.276150, 39.950404, 77.530814, -1426.570516, 4.567729, 
20, 271.319062, 213.219378, 46.096139, 40.999442, 52.451862, -1253.947590, 4.594284, 
20, 271.230592, 212.391743, 46.928489, 41.617505, 30.903176, -1077.434293, 4.616863, 
20, 271.158935, 211.557423, 47.765881, 41.869581, 12.603788, -914.969393, 4.636030, 
20, 271.102095, 210.723110, 48.602128, 41.812350, -2.861537, -773.266228, 4.652260, 
20, 271.058051, 209.894404, 49.432004, 41.493794, -15.927790, -653.312659, 4.665956, 
20, 271.024866, 209.075999, 50.251080, 40.953845, -26.997489, -553.484984, 4.677458, 
20, 271.000733, 208.271853, 51.055589, 40.225419, -36.421285, -471.189797, 4.687055, 
20, 270.984017, 207.485320, 51.842299, 39.335525, -44.494684, -403.669954, 4.694997, 
20, 270.973257, 206.719270, 52.608425, 38.306286, -51.461973, -348.364443, 4.701498, 
20, 270.967175, 205.976178, 53.351542, 37.155831, -57.522744, -303.038544, 4.706744, 
20, 270.964665, 205.258202, 54.069523, 35.899054, -62.838844, -265.804980, 4.710898, 
20, 270.964787, 204.567237, 54.760487, 34.548238, -67.540788, -235.097221, 4.714106, 
20, 270.966752, 203.904968, 55.422759, 33.113572, -71.733305, -209.625859, 4.716497, 
20, 270.969911, 203.272905, 56.054830, 31.603573, -75.499964, -188.332913, 4.718185, 
20, 270.973744, 202.672408, 56.655339, 30.025433, -78.906966, -170.350097, 4.719276, 
20, 270.977841, 202.104717, 57.223045, 28.385309, -82.006236, -154.963531, 4.719866, 
20, 270.981895, 201.570961, 57.756816, 26.688550, -84.837940, -141.585183, 4.720042, 
20, 270.985686, 201.072178, 58.255614, 24.939899, -87.432536, -129.729791, 4.719883, 
20, 270.989067, 200.609317, 58.718487, 23.143650, -89.812480, -118.997215, 4.719462, 
20, 270.991958, 200.183251, 59.144563, 21.303777, -91.993654, -109.058683, 4.718847, 
20, 270.994327, 199.794778, 59.533044, 19.424045, -93.986577, -99.646157, 4.718100, 
20, 270.996186, 199.444621, 59.883206, 17.508096, -95.797463, -90.544285, 4.717275, 
20, 270.997577, 199.133434, 60.194396, 15.559513, -97.429139, -81.583817, 4.716423, 
20, 270.998561, 198.861798, 60.466033, 13.581876, -98.881869, -72.636512, 4.715588, 
