Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 295.000000, 287.999325, 0.002388, 0.238806, 11.940299, 597.014925, 4.712384, 
20, 295.000000, 287.988787, 0.012926, 0.526888, 14.404087, 123.189431, 4.712308, 
20, 294.999996, 287.965076, 0.036637, 1.185545, 32.932873, 926.439285, 4.712138, 
20, 294.999980, 287.925555, 0.076158, 1.976056, 39.525533, 329.632998, 4.711853, 
20, 294.999939, 287.870219, 0.131494, 2.766788, 39.536616, 0.554185, 4.711454, 
20, 294.999855, 287.799063, 0.202650, 3.557831, 39.552125, 0.775423, 4.710940, 
20, 294.999701, 287.712077, 0.289636, 4.349274, 39.572167, 1.002085, 4.710311, 
20, 294.999449, 287.609253, 0.392460, 5.141210, 39.596789, 1.231133, 4.709566, 
20, 294.999063, 287.490580, 0.511134, 5.933730, 39.626014, 1.461239, 4.708703, 
20, 294.998501, 287.356042, 0.645673, 6.726929, 39.659959, 1.697236, 4.707723, 
20, 294.997717, 287.205626, 0.796091, 7.520903, 39.698709, 1.937499, 4.706623, 
20, 294.996656, 287.039314, 0.962406, 8.315751, 39.742368, 2.182968, 4.705402, 
20, 294.995261, 286.857088, 1.144638, 9.111572, 39.791056, 2.434394, 4.704060, 
20, 294.993465, 286.658927, 1.342807, 9.908470, 39.844913, 2.692850, 4.702593, 
20, 294.991197, 286.444808, 1.556938, 10.706552, 39.904082, 2.958426, 4.701001, 
20, 294.988379, 286.214707, 1.787057, 11.505926, 39.968707, 3.231288, 4.699281, 
20, 294.984925, 285.968597, 2.033191, 12.306706, 40.039009, 3.515063, 4.697431, 
20, 294.980744, 285.706450, 2.295371, 13.109010, 40.115188, 3.808973, 4.695450, 
20, 294.975737, 285.428236, 2.573630, 13.912958, 40.197405, 4.110856, 4.693333, 
20, 294.969796, 285.133922, 2.868004, 14.718677, 40.285949, 4.427202, 4.691080, 
20, 294.962809, 284.823475, 3.178530, 15.526298, 40.381041, 4.754593, 4.688685, 
20, 294.954651, 284.496858, 3.505249, 16.335957, 40.482971, 5.096514, 4.686148, 
20, 294.945193, 284.154032, 3.848205, 17.147798, 40.592033, 5.453092, 4.683464, 
20, 294.934295, 283.794958, 4.207444, 17.961969, 40.708536, 5.825139, 4.680629, 
20, 294.921809, 283.419593, 4.583017, 18.778625, 40.832837, 6.215074, 4.677640, 
20, 294.907576, 283.027893, 4.974975, 19.597931, 40.965270, 6.621626, 4.674493, 
20, 294.891428, 282.619811, 5.383376, 20.420056, 41.106258, 7.049415, 4.671183, 
20, 294.873188, 282.195300, 5.808280, 21.245180, 41.256200, 7.497079, 4.667706, 
20, 294.852665, 281.754307, 6.249750, 22.073491, 41.415558, 7.967933, 4.664057, 
20, 294.829658, 281.296781, 6.707853, 22.905187, 41.584781, 8.461126, 4.660230, 
20, 294.803955, 280.822668, 7.182663, 23.740475, 41.764424, 8.982129, 4.656220, 
20, 294.775330, 280.331911, 7.674254, 24.579574, 41.954956, 9.526607, 4.652022, 
20, 294.743542, 279.824451, 8.182709, 25.422714, 42.157001, 10.102279, 4.647629, 
