dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,205.000000,151.000000,0.001970,0.196970,9.848485,492.424242,3.141355
0.020000,205.000000,151.000000,0.009848,0.590909,19.696970,492.424242,3.141389
0.020000,205.000000,151.000000,0.027576,1.181818,29.545455,492.424242,3.141464
0.020000,204.998690,151.000000,0.059091,1.969697,39.393939,492.424242,3.141598
0.020000,204.949448,150.999995,0.108333,2.954545,49.242424,492.424242,3.141809
0.020000,204.878539,150.999968,0.179242,4.136364,59.090909,492.424242,3.142114
0.020000,204.783993,150.999900,0.273788,5.318182,59.090909,-0.000000,3.142525
0.020000,204.665811,150.999759,0.391970,6.500000,59.090909,-0.000000,3.143044
0.020000,204.523993,150.999508,0.533788,7.681818,59.090909,0.000000,3.143676
0.020000,204.358539,150.999102,0.699242,8.863636,59.090909,0.000000,3.144424
0.020000,204.169449,150.998484,0.888333,10.045455,59.090909,-0.000000,3.145295
0.020000,203.956724,150.997591,1.101061,11.227273,59.090909,0.000000,3.146295
0.020000,203.720364,150.996346,1.337424,12.409091,59.090909,0.000000,3.147430
0.020000,203.460369,150.994663,1.597424,13.590909,59.090909,-0.000000,3.148709
0.020000,203.176741,150.992442,1.881061,14.772727,59.090909,-0.000000,3.150141
0.020000,202.869482,150.989571,2.188333,15.954545,59.090909,0.000000,3.151735
0.020000,202.538593,150.985924,2.519242,17.136364,59.090909,-0.000000,3.153503
0.020000,202.184077,150.981357,2.873788,18.318182,59.090909,0.000000,3.155454
0.020000,201.805937,150.975711,3.251970,19.500000,59.090909,0.000000,3.157603
0.020000,201.404178,150.968807,3.653788,20.681818,59.090909,-0.000000,3.159963
0.020000,200.978807,150.960445,4.079242,21.863636,59.090909,0.000000,3.162547
0.020000,200.529828,150.950405,4.528333,23.045455,59.090909,0.000000,3.165373
0.020000,200.057253,150.938440,5.001061,24.227273,59.090909,-0.000000,3.168457
0.020000,199.561091,150.924279,5.497424,25.409091,59.090909,0.000000,3.171817
0.020000,199.041358,150.907620,6.017424,26.590909,59.090909,0.000000,3.175473
0.020000,198.498071,150.888133,6.561061,27.772727,59.090909,-0.000000,3.179445
0.020000,197.931252,150.865452,7.128333,28.954545,59.090909,0.000000,3.183756
0.020000,197.340928,150.839175,7.719242,30.136364,59.090909,-0.000000,3.188429
0.020000,196.727131,150.808860,8.333788,31.318182,59.090909,0.000000,3.193490
0.020000,196.089903,150.774022,8.971970,32.500000,59.090909,-0.000000,3.198966
0.020000,195.429288,150.734130,9.633788,33.681818,59.090909,0.000000,3.204885
0.020000,194.745349,150.688603,10.319242,34.863636,59.090909,0.000000,3.211280
0.020000,194.038153,150.636806,11.028333,36.045455,59.090909,-0.000000,3.218181
0.020000,193.307788,150.578043,11.761061,37.227273,59.090909,0.000000,3.225625
0.020000,192.554355,150.511557,12.517424,38.409091,59.090909,0.000000,3.233649
0.020000,191.777975,150.436524,13.297424,39.590909,59.090909,-0.000000,3.242292
0.020000,190.978793,150.352044,14.101061,40.772727,59.090909,0.000000,3.251595
0.020000,190.156985,150.257142,14.928333,41.954545,59.090909,0.000000,3.261605
0.020000,189.312757,150.150758,15.779242,43.136364,59.090909,0.000000,3.272366
0.020000,188.446352,150.031742,16.653788,44.318182,59.090909,-0.000000,3.283930
0.020000,187.558062,149.898853,17.551970,45.500000,59.090909,0.000000,3.296347
0.020000,186.648227,149.750748,18.473788,46.681818,59.090909,-0.000000,3.309672
0.020000,185.717248,149.585978,19.419242,47.863636,59.090909,-0.000000,3.323962
0.020000,184.765600,149.402988,20.388333,49.045455,59.090909,0.000000,3.339274
0.020000,183.793836,149.200109,21.381061,50.227273,59.090909,0.000000,3.355667
0.020000,182.802602,148.975556,22.397424,51.409091,59.090909,-0.000000,3.373202
0.020000,181.792651,148.727430,23.437424,52.590909,59.090909,0.000000,3.391937
0.020000,180.764855,148.453715,24.501061,53.772727,59.090909,-0.000000,3.411931
0.020000,179.720222,148.152287,25.588333,54.954545,59.090909,-0.000000,3.433237
0.020000,178.659911,147.820919,26.699242,56.136364,59.090909,0.000000,3.455905
0.020000,177.585246,147.457290,27.833788,57.318182,59.090909,-0.000000,3.479977
0.020000,176.497733,147.059008,28.991970,58.500000,59.090909,0.000000,3.505486
0.020000,175.399074,146.623627,30.173788,59.681818,59.090909,0.000000,3.532451
