dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,170.787087,35.828182,0.001970,0.196970,9.848485,492.424242,2.353959
0.020000,170.787816,35.827450,0.003003,0.051662,-7.265392,-855.693856,2.354039
0.020000,170.789457,35.825802,0.005328,0.116263,3.230060,524.772596,2.354218
0.020000,170.792376,35.822873,0.009464,0.206772,4.525423,64.768163,2.354536
0.020000,170.796942,35.818294,0.015929,0.323290,5.825911,65.024426,2.355033
0.020000,170.803526,35.811699,0.025249,0.465986,7.134797,65.444278,2.355750
0.020000,170.776494,35.838713,0.063466,1.910821,72.241743,3255.347281,2.356708
0.020000,170.703876,35.911170,0.166049,5.129182,160.918078,4433.816764,2.357908
0.020000,170.616659,35.997963,0.289093,6.152194,51.150602,-5488.373788,2.359353
0.020000,170.514847,36.098963,0.432504,7.170547,50.917658,-11.647227,2.361046
0.020000,170.398365,36.214097,0.596284,8.188998,50.922557,0.244963,2.362991
0.020000,170.267139,36.343267,0.780418,9.206681,50.884105,-1.922584,2.365191
0.020000,170.121151,36.486299,0.984796,10.218928,50.612371,-13.586728,2.367651
0.020000,169.960304,36.643075,1.209408,11.230579,50.582530,-1.492037,2.370376
0.020000,169.784570,36.813384,1.454127,12.235964,50.269261,-15.663423,2.373372
0.020000,169.593913,36.997000,1.718826,13.234946,49.949124,-16.006871,2.376643
0.020000,169.388152,37.193813,2.003559,14.236660,50.085707,6.829154,2.380198
0.020000,169.167324,37.403479,2.308066,15.225349,49.434429,-32.563921,2.384043
0.020000,168.931234,37.625849,2.632391,16.216267,49.545896,5.573390,2.388188
0.020000,168.679841,37.860603,2.976351,17.197956,49.084466,-23.071502,2.392640
0.020000,168.413053,38.107439,3.339811,18.173027,48.753531,-16.546748,2.397409
0.020000,168.130769,38.366041,3.722642,19.141543,48.425821,-16.385511,2.402504
0.020000,167.832886,38.636064,4.124695,20.102658,48.055730,-18.504566,2.407938
0.020000,167.519221,38.917203,4.545914,21.060937,47.913953,-7.088852,2.413723
0.020000,167.189777,39.208961,4.985977,22.003159,47.111100,-40.142626,2.419869
0.020000,166.844333,39.511007,5.444849,22.943608,47.022441,-4.432979,2.426392
0.020000,166.482849,39.822817,5.922234,23.869235,46.281378,-37.053128,2.433305
0.020000,166.105171,40.143938,6.417975,24.787061,45.891291,-19.504382,2.440624
0.020000,165.711161,40.473868,6.931879,25.695202,45.407045,-24.212290,2.448366
0.020000,165.300697,40.812052,7.463714,26.591765,44.828148,-28.944847,2.456548
0.020000,164.873680,41.157888,8.013212,27.474863,44.154890,-33.662871,2.465188
0.020000,164.429993,41.510749,8.580105,28.344649,43.489317,-33.278672,2.474305
0.020000,163.969455,41.870022,9.164205,29.205012,43.018146,-23.558566,2.483922
0.020000,163.491995,42.234970,9.765166,30.048056,42.152201,-43.297223,2.494058
0.020000,162.997495,42.604854,10.382698,30.876582,41.426291,-36.295533,2.504737
0.020000,162.485830,42.978904,11.016507,31.690463,40.694047,-36.612152,2.515982
0.020000,161.956904,43.356284,11.666260,32.487649,39.859311,-41.736800,2.527818
0.020000,161.410617,43.736128,12.331625,33.268267,39.030899,-41.420614,2.540270
0.020000,160.846836,44.117546,13.012307,34.034105,38.291896,-36.950172,2.553366
0.020000,160.265514,44.499556,13.707912,34.780247,37.307089,-49.240356,2.567130
0.020000,159.666569,44.881155,14.418091,35.508952,36.435262,-43.591340,2.581591
0.020000,159.049919,45.261304,15.142502,36.220511,35.577952,-42.865511,2.596776
0.020000,158.415520,45.638904,15.880773,36.913547,34.651789,-46.308150,2.612711
0.020000,157.763266,46.012851,16.632617,37.592248,33.935038,-35.837511,2.629423
0.020000,157.093166,46.381942,17.397642,38.251231,32.949184,-49.292738,2.646935
0.020000,156.405124,46.744997,18.175595,38.897625,32.319677,-31.475319,2.665273
0.020000,155.699077,47.100784,18.966219,39.531216,31.679561,-32.005809,2.684456
0.020000,154.974983,47.448030,19.769271,40.152600,31.069215,-30.517310,2.704501
0.020000,154.232806,47.785429,20.584540,40.763468,30.543393,-26.291096,2.725420
0.020000,153.472380,48.111710,21.412011,41.373513,30.502228,-2.058226,2.747223
0.020000,152.693634,48.425528,22.251610,41.979969,30.322839,-8.969480,2.769910
0.020000,151.896409,48.725556,23.103423,42.590639,30.533475,10.531785,2.793474
0.020000,151.080451,49.010475,23.967695,43.213593,31.147711,30.711801,2.817901
0.020000,150.245558,49.278925,24.844685,43.849500,31.795364,32.382676,2.843164
0.020000,149.391365,49.529580,25.734895,44.510530,33.051496,62.806575,2.869229
