dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.000000,34.000000,0.001970,0.196970,9.848485,492.424242,0.045130
0.020000,18.000000,34.000000,0.009848,0.590909,19.696970,492.424242,0.045102
0.020000,18.000000,34.000000,0.027576,1.181818,29.545455,492.424242,0.045038
0.020000,18.000000,34.000000,0.059091,1.969697,39.393939,492.424242,0.044925
0.020000,18.020205,34.000905,0.108333,2.954545,49.242424,492.424242,0.044749
0.020000,18.091044,34.004069,0.179242,4.136364,59.090909,492.424242,0.044496
0.020000,18.185496,34.008258,0.273788,5.318182,59.090909,-0.000000,0.044159
0.020000,18.303564,34.013451,0.391970,6.500000,59.090909,-0.000000,0.043741
0.020000,18.445248,34.019616,0.533788,7.681818,59.090909,0.000000,0.043241
0.020000,18.610550,34.026721,0.699242,8.863636,59.090909,0.000000,0.042663
0.020000,18.799472,34.034723,0.888333,10.045455,59.090909,-0.000000,0.042007
0.020000,19.012014,34.043579,1.101061,11.227273,59.090909,0.000000,0.041276
0.020000,19.248181,34.053237,1.337424,12.409091,59.090909,0.000000,0.040472
0.020000,19.507972,34.063644,1.597424,13.590909,59.090909,-0.000000,0.039598
0.020000,19.791391,34.074739,1.881061,14.772727,59.090909,-0.000000,0.038657
0.020000,20.098441,34.086459,2.188333,15.954545,59.090909,0.000000,0.037652
0.020000,20.429122,34.098739,2.519242,17.136364,59.090909,-0.000000,0.036586
0.020000,20.783437,34.111508,2.873788,18.318182,59.090909,0.000000,0.035463
0.020000,21.161389,34.124694,3.251970,19.500000,59.090909,0.000000,0.034288
0.020000,21.562979,34.138222,3.653788,20.681818,59.090909,-0.000000,0.033063
0.020000,21.988210,34.152015,4.079242,21.863636,59.090909,0.000000,0.031794
0.020000,22.437083,34.165997,4.528333,23.045455,59.090909,0.000000,0.030486
0.020000,22.909601,34.180088,5.001061,24.227273,59.090909,-0.000000,0.029144
0.020000,23.405763,34.194209,5.497424,25.409091,59.090909,0.000000,0.027772
0.020000,23.925573,34.208284,6.017424,26.590909,59.090909,0.000000,0.026376
0.020000,24.469030,34.222236,6.561061,27.772727,59.090909,-0.000000,0.024963
0.020000,25.036136,34.235988,7.128333,28.954545,59.090909,0.000000,0.023538
0.020000,25.626891,34.249471,7.719242,30.136364,59.090909,-0.000000,0.022107
0.020000,26.241296,34.262613,8.333788,31.318182,59.090909,0.000000,0.020677
0.020000,26.879351,34.275351,8.971970,32.500000,59.090909,-0.000000,0.019255
0.020000,27.541055,34.287624,9.633788,33.681818,59.090909,0.000000,0.017848
0.020000,28.226409,34.299379,10.319242,34.863636,59.090909,0.000000,0.016463
0.020000,28.935411,34.310567,11.028333,36.045455,59.090909,-0.000000,0.015108
0.020000,29.668062,34.321148,11.761061,37.227273,59.090909,0.000000,0.013790
0.020000,30.424360,34.331091,12.517424,38.409091,59.090909,0.000000,0.012517
0.020000,31.204305,34.340373,13.297424,39.590909,59.090909,-0.000000,0.011299
0.020000,32.007895,34.348982,14.101061,40.772727,59.090909,0.000000,0.010143
0.020000,32.835130,34.356916,14.928333,41.954545,59.090909,0.000000,0.009058
0.020000,33.686008,34.364188,15.779242,43.136364,59.090909,0.000000,0.008053
0.020000,34.560528,34.370822,16.653788,44.318182,59.090909,-0.000000,0.007138
0.020000,35.458690,34.376857,17.551970,45.500000,59.090909,0.000000,0.006322
0.020000,36.380492,34.382348,18.473788,46.681818,59.090909,-0.000000,0.005614
0.020000,37.325933,34.387367,19.419242,47.863636,59.090909,-0.000000,0.005026
0.020000,38.295013,34.392004,20.388333,49.045455,59.090909,0.000000,0.004567
0.020000,39.287730,34.396367,21.381061,50.227273,59.090909,0.000000,0.004248
