dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.586494,21.013237,0.001970,0.196970,9.848485,492.424242,0.045130
0.020000,18.586126,21.013220,0.002338,0.018400,-8.928463,-938.847388,0.045102
0.020000,18.585299,21.013183,0.003165,0.041378,1.148862,503.866249,0.045038
0.020000,18.583831,21.013117,0.004635,0.073481,1.605148,22.814292,0.044925
0.020000,18.601746,21.013919,0.022568,0.896662,41.159084,1977.696796,0.044749
0.020000,18.669296,21.016936,0.090185,3.380860,124.209902,4152.540896,0.044496
0.020000,18.759380,21.020931,0.180358,4.508612,56.387593,-3391.115441,0.044159
0.020000,18.872012,21.025885,0.293099,5.637058,56.422309,1.735789,0.043741
0.020000,19.007212,21.031768,0.428426,6.766381,56.466135,2.191340,0.043241
0.020000,19.165001,21.038550,0.586361,7.896723,56.517108,2.548637,0.042663
0.020000,19.345405,21.046192,0.766926,9.028279,56.577806,3.034900,0.042007
0.020000,19.548453,21.054652,0.970151,10.161211,56.646600,3.439695,0.041276
0.020000,19.774178,21.063883,1.196065,11.295710,56.724909,3.915432,0.040472
0.020000,20.022617,21.073835,1.444703,12.431921,56.810596,4.284379,0.039598
0.020000,20.293810,21.084451,1.716104,13.570027,56.905276,4.733970,0.038657
0.020000,20.587800,21.095673,2.010308,14.710211,57.009205,5.196478,0.037652
0.020000,20.904634,21.107439,2.327360,15.852621,57.120516,5.565544,0.036586
0.020000,21.244363,21.119682,2.667309,16.997451,57.241456,6.047004,0.035463
0.020000,21.607039,21.132335,3.030207,18.144861,57.370500,6.452182,0.034288
0.020000,21.992721,21.145327,3.416107,19.295006,57.507260,6.838004,0.033063
0.020000,22.401468,21.158585,3.825069,20.448086,57.654027,7.338327,0.031794
0.020000,22.833343,21.172037,4.257153,21.604246,57.807974,7.697359,0.030486
0.020000,23.288414,21.185608,4.712427,22.763666,57.971029,8.152776,0.029144
0.020000,23.766750,21.199222,5.190957,23.926506,58.141988,8.547931,0.027772
0.020000,24.268425,21.212806,5.692816,25.092942,58.321800,8.990631,0.026376
0.020000,24.793515,21.226286,6.218078,26.263131,58.509426,9.381254,0.024963
0.020000,25.342099,21.239590,6.766823,27.437251,58.706022,9.829814,0.023538
0.020000,25.914259,21.252647,7.339132,28.615447,58.909820,10.189926,0.022107
0.020000,26.510081,21.265392,7.935090,29.797909,59.123075,10.662720,0.020677
0.020000,27.129653,21.277761,8.554786,30.984786,59.343873,11.039927,0.019255
