dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,277.838240,25.407442,0.001970,0.196970,9.848485,492.424242,1.931864
0.020000,277.837388,25.409699,0.004382,0.120603,-3.818348,-683.341631,1.931679
0.020000,277.835472,25.414778,0.009810,0.271426,7.541155,567.975122,1.931261
0.020000,277.832070,25.423814,0.019466,0.482773,10.567347,151.309608,1.930519
0.020000,277.823637,25.446288,0.043469,1.200160,35.869346,1265.099934,1.929357
0.020000,277.791177,25.533124,0.136174,4.635238,171.753901,6794.227786,1.927681
0.020000,277.748095,25.649069,0.259864,6.184501,77.463154,-4714.537362,1.925439
0.020000,277.694565,25.794256,0.414605,7.737079,77.628909,8.287771,1.922626
0.020000,277.630779,25.968925,0.600557,9.297581,78.025089,19.808955,1.919232
0.020000,277.557027,26.173219,0.817756,10.859945,78.118193,4.655204,1.915251
0.020000,277.473600,26.407450,1.066400,12.432210,78.613255,24.753130,1.910669
0.020000,277.380857,26.671916,1.346657,14.012830,79.031026,20.888548,1.905476
0.020000,277.279225,26.966924,1.658680,15.601160,79.416474,19.272409,1.899656
0.020000,277.169184,27.292824,2.002656,17.198822,79.883121,23.332334,1.893196
0.020000,277.051267,27.650030,2.378822,18.808302,80.474015,29.544700,1.886078
0.020000,276.926078,28.038983,2.787425,20.430148,81.092269,30.912684,1.878284
0.020000,276.794309,28.460107,3.228684,22.062931,81.639166,27.344871,1.869794
0.020000,276.656700,28.913944,3.702924,23.712018,82.454343,40.758833,1.860588
0.020000,276.514107,29.400960,4.210386,25.373074,83.052822,29.923980,1.850643
0.020000,276.367465,29.921684,4.751364,27.048901,83.791348,36.926298,1.839937
0.020000,276.217790,30.476715,5.326222,28.742906,84.700245,45.444852,1.828445
0.020000,276.066232,31.066546,5.935213,30.449567,85.333011,31.638305,1.816145
0.020000,275.914034,31.691748,6.578674,32.173049,86.174138,42.056321,1.803011
0.020000,275.762566,32.352838,7.256894,33.911014,86.898243,36.205277,1.789021
0.020000,275.613307,33.050370,7.970217,35.666117,87.755122,42.843913,1.774150
0.020000,275.467889,33.784772,8.718878,37.433049,88.346619,29.574843,1.758377
0.020000,275.328058,34.556491,9.503162,39.214234,89.059269,35.632541,1.741684
0.020000,275.195717,35.365810,10.323231,41.003429,89.459730,20.023027,1.724055
0.020000,275.072885,36.212999,11.179278,42.802345,89.945824,24.304723,1.705477
0.020000,274.961726,37.098143,12.071374,44.604795,90.122502,8.833874,1.685945
0.020000,274.864527,38.021180,12.999515,46.407049,90.112665,-0.491843,1.665457
0.020000,274.783681,38.981876,13.963607,48.204587,89.876904,-11.788027,1.644022
0.020000,274.721680,39.979762,14.963417,49.990503,89.295788,-29.055825,1.621656
0.020000,274.681076,41.014178,15.998630,51.760660,88.507846,-39.397082,1.598387
0.020000,274.664460,42.084127,17.068708,53.503900,87.162024,-67.291118,1.574253
0.020000,274.674416,43.188382,18.173007,55.214963,85.553170,-80.442690,1.549305
0.020000,274.713478,44.325363,19.310659,56.882616,83.382615,-108.527764,1.523609
0.020000,274.784076,45.493214,20.480643,58.499166,80.827492,-127.756165,1.497243
0.020000,274.888486,46.689785,21.681760,60.055849,77.834171,-149.666028,1.470302
0.020000,275.028768,47.912618,22.912613,61.542686,74.341831,-174.617015,1.442890
0.020000,275.206720,49.159023,24.171657,62.952178,70.474638,-193.359620,1.415128
0.020000,275.423824,50.426111,25.457210,64.277675,66.274829,-209.990490,1.387145
0.020000,275.681209,51.710834,26.767462,65.512563,61.744403,-226.521263,1.359081
0.020000,275.979620,53.010072,28.100529,66.653379,57.040790,-235.180685,1.331079
0.020000,276.319408,54.320701,29.454488,67.697955,52.228792,-240.599865,1.303289
0.020000,276.700521,55.639658,30.827403,68.645746,47.389587,-241.960265,1.275858
0.020000,277.122524,56.964019,32.217374,69.498534,42.639377,-237.510510,1.248934
0.020000,277.584618,58.291060,33.622567,70.259629,38.054738,-229.231929,1.222657
0.020000,278.085676,59.618306,35.041243,70.933811,33.709119,-217.280978,1.197162
0.020000,278.624289,60.943578,36.471784,71.527086,29.663752,-202.268338,1.172572
0.020000,279.198803,62.265013,37.912707,72.046114,25.951375,-185.618820,1.149002
0.020000,279.807367,63.581083,39.362670,72.498137,22.601171,-167.510214,1.126555
0.020000,280.447979,64.890589,40.820472,72.890146,19.600472,-150.034957,1.105323
0.020000,281.118516,66.192655,42.285052,73.228975,16.941415,-132.952834,1.085388
0.020000,281.816766,67.486703,43.755465,73.520653,14.583901,-117.875699,1.066824
0.020000,282.539312,68.770442,45.228577,73.655591,6.746926,-391.848781,1.049718
0.020000,283.281475,70.040071,46.699211,73.531699,-6.194607,-647.076636,1.034167
0.020000,284.038493,71.292371,48.162539,73.166409,-18.264501,-603.494683,1.020239
0.020000,284.805594,72.524611,49.614042,72.575139,-29.563504,-564.950157,1.007978
0.020000,285.578063,73.734468,51.049474,71.771590,-40.177446,-530.697121,0.997408
0.020000,286.351287,74.919942,52.464826,70.767634,-50.197806,-501.017973,0.988534
0.020000,287.121964,76.081014,53.858394,69.678395,-54.461936,-213.206521,0.981337
0.020000,287.887199,77.218095,55.228991,68.529855,-57.426998,-148.253113,0.975789
0.020000,288.643091,78.329893,56.573413,67.221063,-65.439602,-400.630181,0.971868
0.020000,289.385672,79.414816,57.888131,65.735915,-74.257394,-440.889619,0.969543
0.020000,290.111205,80.471318,59.169768,64.081847,-82.703445,-422.302522,0.968771
0.020000,290.816202,81.497868,60.415090,62.266130,-90.785817,-404.118603,0.969496
0.020000,291.497459,82.492925,61.621012,60.296085,-98.502257,-385.822005,0.971654
0.020000,292.152889,83.456115,62.786055,58.252129,-102.197827,-184.778528,0.975173
0.020000,292.781690,84.388502,63.910660,56.230247,-101.094054,55.188692,0.979984
0.020000,293.383448,85.291319,64.995644,54.249210,-99.051889,102.108208,0.986024
0.020000,293.957876,86.165633,66.041776,52.306599,-97.130547,96.067141,0.993235
0.020000,294.504813,87.012364,67.049790,50.400736,-95.293118,91.871438,1.001560
0.020000,295.024213,87.832304,68.020398,48.530373,-93.518148,88.748484,1.010944
0.020000,295.516145,88.626138,68.954298,46.695007,-91.768314,87.491701,1.021334
0.020000,295.980788,89.394458,69.852190,44.894571,-90.021806,87.325408,1.032675
0.020000,296.418431,90.137783,70.714780,43.129523,-88.252408,88.469908,1.044913
0.020000,296.829462,90.856570,71.542790,41.400521,-86.450074,90.116684,1.057993
0.020000,297.214375,91.551237,72.336970,39.708962,-84.577967,93.605377,1.071857
0.020000,297.573755,92.222168,73.098089,38.055943,-82.650927,96.351978,1.086446
0.020000,297.908279,92.869729,73.826952,36.443196,-80.637367,100.677997,1.101698
0.020000,298.218709,93.494284,74.524401,34.872438,-78.537902,104.973241,1.117549
0.020000,298.505879,94.096193,75.191305,33.345195,-76.362130,108.788629,1.133931
0.020000,298.770692,94.675831,75.828570,31.863257,-74.096903,113.261335,1.150774
0.020000,299.014107,95.233588,76.437129,30.427916,-71.767047,116.492817,1.168008
0.020000,299.237126,95.769870,77.017935,29.040335,-69.379050,119.399863,1.185558
0.020000,299.440789,96.285109,77.571966,27.701519,-66.940845,121.910242,1.203350
0.020000,299.626157,96.779754,78.100203,26.411883,-64.481790,122.952732,1.221307
0.020000,299.794301,97.254273,78.603632,25.171439,-62.022199,122.979563,1.239355
0.020000,299.946295,97.709148,79.083229,23.979861,-59.578877,122.166079,1.257418
0.020000,300.083204,98.144870,79.539955,22.836259,-57.180095,119.939129,1.275422
0.020000,300.206072,98.561935,79.974741,21.739329,-54.846497,116.679893,1.293296
0.020000,300.315919,98.960833,80.388487,20.687313,-52.600827,112.283500,1.310969
