dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,302.161760,34.592558,0.001970,0.196970,9.848485,492.424242,1.931864
0.020000,302.162612,34.590301,0.004382,0.120603,-3.818348,-683.341631,1.931679
0.020000,302.164528,34.585222,0.009810,0.271426,7.541155,567.975122,1.931261
0.020000,302.167930,34.576186,0.019466,0.482773,10.567347,151.309608,1.930519
0.020000,302.170113,34.570383,0.025665,0.309977,-8.639772,-960.355935,1.929357
0.020000,302.152912,34.616401,0.074793,2.456373,107.319785,5797.977821,1.927681
0.020000,302.130130,34.677710,0.140198,3.270271,40.694899,-3331.244290,1.925439
0.020000,302.101903,34.754269,0.221795,4.079828,40.477838,-10.853014,1.922626
0.020000,302.068383,34.846059,0.319513,4.885939,40.305562,-8.613799,1.919232
0.020000,302.029783,34.952982,0.433191,5.683887,39.897392,-20.408504,1.915251
0.020000,301.986322,35.075001,0.562718,6.476363,39.623831,-13.678063,1.910669
0.020000,301.938266,35.212039,0.707939,7.261023,39.232984,-19.542350,1.905476
0.020000,301.885915,35.363995,0.868659,8.036025,38.750086,-24.144903,1.899656
0.020000,301.829606,35.530759,1.044674,8.800733,38.235420,-25.733287,1.893196
0.020000,301.769701,35.712227,1.235774,9.554973,37.711965,-26.172791,1.886078
0.020000,301.706600,35.908274,1.441726,10.297613,37.132026,-28.996950,1.878284
0.020000,301.640743,36.118744,1.662258,11.026618,36.450240,-34.089250,1.869794
0.020000,301.572590,36.343507,1.897127,11.743446,35.841427,-30.440678,1.860588
0.020000,301.502650,36.582375,2.146024,12.444846,35.069962,-38.573268,1.850643
0.020000,301.431458,36.835168,2.408650,13.131299,34.322684,-37.363890,1.839937
0.020000,301.359574,37.101720,2.684725,13.803744,33.622215,-35.023451,1.828445
0.020000,301.287603,37.381803,2.973907,14.459091,32.767369,-42.742311,1.816145
0.020000,301.216170,37.675218,3.275892,15.099273,32.009085,-37.914193,1.803011
0.020000,301.145935,37.981745,3.590363,15.723524,31.212543,-39.827085,1.789021
0.020000,301.077574,38.301190,3.917041,16.333915,30.519561,-34.649114,1.774150
0.020000,301.011802,38.633330,4.255630,16.929446,29.776561,-37.149964,1.758377
0.020000,300.949346,38.977984,4.605897,17.513374,29.196423,-29.006929,1.741684
0.020000,300.890966,39.334959,4.967615,18.085863,28.624427,-28.599782,1.724055
0.020000,300.837434,39.704129,5.340646,18.651559,28.284786,-16.982060,1.705477
0.020000,300.789548,40.085386,5.724899,19.212641,28.054097,-11.534448,1.685945
0.020000,300.748125,40.478682,6.120369,19.773522,28.044063,-0.501708,1.665457
0.020000,300.714007,40.884038,6.527158,20.339465,28.297143,12.654021,1.644022
0.020000,300.688060,41.301551,6.945477,20.915953,28.824402,26.362916,1.621656
0.020000,300.671180,41.731437,7.375694,21.510845,29.744599,46.009858,1.598387
0.020000,300.664304,42.173988,7.818298,22.130211,30.968289,61.184516,1.574253
0.020000,300.668412,42.629640,8.273970,22.783566,32.667750,84.973042,1.549305
0.020000,300.684536,43.098937,8.743544,23.478701,34.756748,104.449916,1.523609
0.020000,300.713777,43.582560,9.228050,24.225298,37.329863,128.655761,1.497243
0.020000,300.757307,44.081317,9.728702,25.032623,40.366242,151.818912,1.470302
0.020000,300.816378,44.596118,10.246882,25.908985,43.818123,172.594087,1.442890
0.020000,300.892332,45.127978,10.784137,26.862762,47.688868,193.537217,1.415128
0.020000,300.986596,45.677983,11.342162,27.901217,51.922719,211.692584,1.387145
0.020000,301.100676,46.247257,11.922755,29.029651,56.421724,224.950223,1.359081
0.020000,301.236153,46.836942,12.527802,30.252353,61.135106,235.669127,1.331079
0.020000,301.394657,47.448155,13.159232,31.571538,65.959203,241.204813,1.303289
0.020000,301.577844,48.081960,13.818979,32.987352,70.790707,241.575218,1.275858
0.020000,301.787371,48.739342,14.508945,34.498261,75.545475,237.738398,1.248934
0.020000,302.024857,49.421185,15.230963,36.100911,80.132480,229.350266,1.222657
0.020000,302.291855,50.128263,15.986772,37.790464,84.477678,217.259904,1.197162
0.020000,302.589814,50.861236,16.777992,39.560982,88.525902,202.411172,1.172572
0.020000,302.920051,51.620655,17.606106,41.405694,92.235594,185.484607,1.149002
0.020000,303.283725,52.406979,18.472457,43.317568,95.593673,167.903960,1.126555
0.020000,303.681818,53.220597,19.378245,45.289423,98.592739,149.953280,1.105323
0.020000,304.115118,54.061856,20.324536,47.314522,101.254979,133.112004,1.085388
0.020000,304.584212,54.931090,21.312269,49.386648,103.606312,117.566645,1.066824
0.020000,305.088669,55.827237,22.340644,51.418779,101.606532,-99.989006,1.049718
0.020000,305.626832,56.747780,23.406955,53.315543,94.838189,-338.417117,1.034167
0.020000,306.196550,57.690147,24.508152,55.059825,87.214103,-381.204322,1.020239
0.020000,306.795215,58.651739,25.640874,56.636114,78.814472,-419.981523,1.007978
0.020000,307.419824,59.629948,26.801490,58.030807,69.734629,-453.992189,0.997408
0.020000,308.067032,60.622164,27.986129,59.231954,60.057340,-483.864416,0.988534
0.020000,308.734235,61.627304,29.192557,60.321363,54.470467,-279.343685,0.981337
0.020000,309.418949,62.644703,30.418906,61.317472,49.805468,-233.249929,0.975789
0.020000,310.117538,63.672196,31.661391,62.124274,40.340085,-473.269171,0.971868
0.020000,310.825984,64.707231,32.915661,62.713468,29.459677,-544.020398,0.969543
0.020000,311.540148,65.747175,34.177213,63.077607,18.206957,-562.635964,0.968771
0.020000,312.255824,66.789279,35.441402,63.209433,6.591303,-580.782740,0.969496
0.020000,312.968773,67.830638,36.703434,63.101613,-5.390967,-599.113462,0.971654
0.020000,313.675661,68.869468,37.959960,62.826324,-13.764451,-418.674216,0.975173
0.020000,314.374389,69.905569,39.209651,62.484509,-17.090792,-166.317063,0.979984
0.020000,315.063236,70.939080,40.451687,62.101833,-19.133768,-102.148773,0.986024
0.020000,315.740592,71.970095,41.685301,61.680698,-21.056745,-96.148885,0.993235
0.020000,316.404948,72.998653,42.909760,61.222938,-22.887994,-91.562433,1.001560
0.020000,317.054886,74.024719,44.124351,60.729551,-24.669361,-89.068330,1.010944
0.020000,317.689079,75.048179,45.328375,60.201182,-26.418439,-87.453944,1.021334
0.020000,318.306282,76.068832,46.521132,59.637869,-28.165663,-87.361164,1.032675
0.020000,318.905332,77.086374,47.701918,59.039277,-29.929596,-88.196656,1.044913
0.020000,319.485147,78.100398,48.870006,58.404402,-31.743748,-90.707616,1.057993
0.020000,320.044733,79.110388,50.024655,57.732475,-33.596367,-92.630938,1.071857
0.020000,320.583178,80.115706,51.165089,57.021679,-35.539785,-97.170910,1.086446
0.020000,321.099668,81.115603,52.290502,56.270661,-37.550919,-100.556683,1.101698
0.020000,321.593485,82.109213,53.400059,55.477830,-39.641564,-104.532244,1.117549
0.020000,322.064018,83.095553,54.492884,54.641264,-41.828284,-109.336031,1.133931
0.020000,322.510771,84.073537,55.568077,53.759671,-44.079661,-112.568817,1.150774
0.020000,322.933368,85.041976,56.624705,52.831387,-46.414205,-116.727235,1.168008
0.020000,323.331558,85.999591,57.661808,51.855173,-48.810657,-119.822568,1.185558
0.020000,323.705228,86.945034,58.678417,50.830407,-51.238316,-121.382980,1.203350
0.020000,324.054400,87.876894,59.673546,49.756484,-53.696166,-122.892459,1.221307
0.020000,324.379234,88.793715,60.646211,48.633249,-56.161760,-123.279737,1.239355
0.020000,324.680032,89.694019,61.595436,47.461228,-58.601031,-121.963533,1.257418
0.020000,324.957228,90.576324,62.520260,46.241224,-61.000191,-119.957979,1.275422
0.020000,325.211393,91.439160,63.419752,44.974580,-63.332228,-116.601899,1.293296
0.020000,325.443215,92.281087,64.293012,43.663017,-65.578153,-112.296225,1.310969
0.020000,325.653501,93.100715,65.139186,42.308680,-67.716839,-106.934308,1.328378
0.020000,325.843154,93.896712,65.957464,40.913926,-69.737699,-101.043005,1.345459
0.020000,326.013169,94.667830,66.747102,39.481884,-71.602078,-93.218914,1.362154
0.020000,326.164610,95.412893,67.507400,38.014901,-73.349146,-87.353420,1.378411
0.020000,326.298601,96.130823,68.237726,36.516310,-74.929587,-79.022040,1.394181
0.020000,326.416308,96.820645,68.937519,34.989624,-76.334297,-70.235515,1.409420
0.020000,326.518921,97.481470,69.606263,33.437219,-77.620231,-64.296705,1.424088
0.020000,326.607645,98.112519,70.243519,31.862798,-78.721071,-55.041994,1.438153
0.020000,326.683680,98.713095,70.848889,30.268510,-79.714371,-49.664995,1.451583
0.020000,326.748214,99.282613,71.422051,28.658110,-80.520016,-40.282248,1.464354
0.020000,326.802407,99.820561,71.962722,27.033536,-81.228678,-35.433101,1.476443
0.020000,326.847382,100.326511,72.470667,25.397259,-81.813850,-29.258619,1.487833
0.020000,326.884220,100.800108,72.945695,23.751404,-82.292769,-23.945928,1.498509
0.020000,326.913947,101.241057,73.387645,22.097502,-82.695076,-20.115376,1.508460
0.020000,326.937531,101.649127,73.796396,20.437529,-82.998681,-15.180219,1.517674
0.020000,326.955879,102.024153,74.171871,18.773747,-83.189068,-9.519380,1.526147
0.020000,326.969829,102.365985,74.513987,17.105795,-83.397601,-10.426650,1.533872
0.020000,326.980150,102.674520,74.822695,15.435410,-83.519265,-6.083205,1.540845
0.020000,326.987538,102.949704,75.097977,13.764115,-83.564762,-2.274836,1.547065
0.020000,326.992616,103.191473,75.339800,12.091127,-83.649388,-4.231300,1.552529
0.020000,326.995931,103.399790,75.548143,10.417165,-83.698119,-2.436560,1.557237
0.020000,326.997957,103.574653,75.723018,8.743754,-83.670548,1.378586,1.561188
0.020000,326.999089,103.716053,75.864423,7.070216,-83.676871,-0.316168,1.564383
0.020000,326.999650,103.823987,75.972359,5.396801,-83.670761,0.305498,1.566821
0.020000,326.999888,103.900623,76.048994,3.831787,-78.250694,271.003357,1.568552
0.020000,326.999973,103.950891,76.099262,2.513395,-65.919616,616.553918,1.569687
0.020000,326.999996,103.980392,76.128764,1.475092,-51.915164,700.222600,1.570354
0.020000,327.000000,103.994694,76.143066,0.715099,-37.999657,695.775331,1.570677
0.020000,327.000000,103.999371,76.147743,0.233827,-24.063597,696.802991,1.570782
0.020000,327.000000,104.000000,76.148372,0.031452,-10.118716,697.244070,1.570796
0.020000,327.000000,104.000000,76.148372,0.000000,-1.572612,427.305171,1.570796
