dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.398585,118.788551,0.001970,0.196970,9.848485,492.424242,4.712050
0.020000,290.398585,118.787445,0.003075,0.055283,-7.084356,-846.642066,4.712135
0.020000,290.398585,118.784962,0.005558,0.124134,3.442560,526.345832,4.712326
0.020000,290.398589,118.754943,0.035577,1.500971,68.841866,3269.965306,4.712664
0.020000,290.398619,118.698876,0.091645,2.803360,65.119420,-186.122297,4.713189
0.020000,290.398713,118.618235,0.172286,4.032068,61.435407,-184.200657,4.713937
0.020000,290.398933,118.510888,0.279633,5.367350,66.764135,266.436394,4.714922
0.020000,290.399353,118.376986,0.413536,6.695140,66.389475,-18.733026,4.716131
0.020000,290.400067,118.216715,0.573808,8.013614,65.923720,-23.287715,4.717551
0.020000,290.401180,118.030300,0.760226,9.320902,65.364401,-27.965963,4.719164
0.020000,290.402809,117.818002,0.972530,10.615206,64.715190,-32.460575,4.720949
0.020000,290.405077,117.580118,1.210425,11.894733,63.976331,-36.942947,4.722885
0.020000,290.408112,117.316983,1.473578,13.157665,63.146616,-41.485705,4.724946
0.020000,290.412042,117.028964,1.761623,14.402252,62.229346,-45.863516,4.727103
0.020000,290.416991,116.716468,2.074159,15.626770,61.225882,-50.173193,4.729326
0.020000,290.423075,116.379934,2.410748,16.829461,60.134574,-54.565430,4.731581
0.020000,290.430398,116.019835,2.770921,18.008650,58.959457,-58.755835,4.733832
0.020000,290.439045,115.636681,3.154173,19.162624,57.698698,-63.037960,4.736041
0.020000,290.449080,115.231010,3.559968,20.289727,56.355142,-67.177776,4.738165
0.020000,290.460541,114.803398,3.987733,21.388260,54.926655,-71.424349,4.740161
0.020000,290.473432,114.354452,4.436864,22.456563,53.415142,-75.575652,4.741982
0.020000,290.487722,113.884811,4.906723,23.492951,51.819407,-79.786786,4.743580
0.020000,290.503338,113.395146,5.396637,24.495689,50.136916,-84.124551,4.744902
0.020000,290.520162,112.886163,5.905898,25.463033,48.367183,-88.486611,4.745894
0.020000,290.538023,112.358602,6.433761,26.393175,46.507082,-93.005042,4.746499
0.020000,290.556697,111.813237,6.979446,27.284223,44.552397,-97.734287,4.746656
0.020000,290.575901,111.250881,7.542130,28.134202,42.498973,-102.671193,4.746303
0.020000,290.595287,110.672385,8.120950,28.941024,40.341077,-107.894784,4.745373
0.020000,290.614441,110.078645,8.715000,29.702466,38.072108,-113.448482,4.743797
0.020000,290.632881,109.470601,9.323323,30.416162,35.684821,-119.364310,4.741500
0.020000,290.650053,108.849246,9.944914,31.079582,33.170970,-125.692566,4.738405
0.020000,290.665326,108.215630,10.578715,31.690010,30.521432,-132.476920,4.734432
0.020000,290.677998,107.570863,11.223606,32.244589,27.728948,-139.624199,4.729494
0.020000,290.687291,106.916124,11.878412,32.740272,24.784143,-147.240220,4.723500
0.020000,290.692354,106.252664,12.541890,33.173923,21.682561,-155.079097,4.716355
0.020000,290.692267,105.581818,13.212736,33.542297,18.418663,-163.194909,4.707959
0.020000,290.686043,104.905002,13.889581,33.842235,14.996929,-171.086692,4.698206
0.020000,290.672639,104.223720,14.570995,34.070691,11.422805,-178.706207,4.686986
0.020000,290.650964,103.539563,15.255495,34.225013,7.716091,-185.335704,4.674186
0.020000,290.619891,102.854204,15.941559,34.303184,3.908565,-190.376297,4.659687
0.020000,290.578271,102.169383,16.627643,34.304199,0.050727,-192.891925,4.643373
0.020000,290.524949,101.486893,17.312213,34.228515,-3.784186,-191.745617,4.625124
0.020000,290.458784,100.808539,17.993786,34.078647,-7.493392,-185.460313,4.604826
0.020000,290.378663,100.136098,18.670983,33.859868,-10.938967,-172.278770,4.582374
0.020000,290.283509,99.471253,19.342603,33.580980,-13.944395,-150.271367,4.557675
0.020000,290.172294,98.815514,20.007706,33.255159,-16.291050,-117.332746,4.530656
0.020000,290.044019,98.170123,20.665721,32.900760,-17.719939,-71.444449,4.501274
0.020000,289.897693,97.535949,21.316558,32.541843,-17.945859,-11.296027,4.469523
0.020000,289.732283,96.913378,21.960728,32.208478,-16.668269,63.879510,4.435440
0.020000,289.546638,96.302226,22.599454,31.936322,-13.607767,153.025101,4.399121
0.020000,289.339394,95.701671,23.234763,31.765430,-8.544645,253.156123,4.360721
0.020000,289.108872,95.110247,23.869524,31.738045,-1.369245,358.769994,4.320462
0.020000,288.852982,94.525904,24.507440,31.895826,7.889051,462.914766,4.278627
0.020000,288.569146,93.946133,25.152960,32.276014,19.009429,556.018913,4.235559
0.020000,288.254293,93.368177,25.811114,32.907652,31.581896,628.623374,4.191645
0.020000,287.887962,92.762011,26.519376,35.413134,125.274114,4684.610889,4.152242
0.020000,287.122167,91.519638,27.978805,72.971433,1877.914948,87632.041675,4.166931
0.020000,286.401033,90.317811,29.380383,70.078927,-144.625306,-101127.012693,4.176109
0.020000,285.719096,89.164533,30.720192,66.990452,-154.423768,-489.923077,4.179777
0.020000,285.071862,88.067634,31.993810,63.680858,-165.479713,-552.797255,4.177899
0.020000,284.456017,87.034943,33.196189,60.118956,-178.095077,-630.768212,4.170390
0.020000,283.868739,86.072930,34.323293,56.355235,-188.186079,-504.550115,4.157091
0.020000,283.308057,85.187182,35.371584,52.414540,-197.034703,-442.431174,4.137730
0.020000,282.773975,84.383987,36.336138,48.227699,-209.342082,-615.368956,4.111929
0.020000,282.268619,83.669984,37.210888,43.737476,-224.511135,-758.452663,4.079220
0.020000,281.796308,83.051473,37.989111,38.911188,-241.314414,-840.163948,4.039088
0.020000,281.363389,82.533325,38.664313,33.760055,-257.556633,-812.110934,3.991031
0.020000,280.977522,82.117402,39.231662,28.367479,-269.628827,-603.609704,3.934679
0.020000,280.646092,81.800699,39.690079,22.920855,-272.331192,-135.118266,3.869948
0.020000,280.373504,81.573737,40.044785,17.735289,-259.278304,652.644407,3.797239
0.020000,280.157660,81.420182,40.309677,13.244597,-224.534563,1737.187031,3.717621
0.020000,279.986821,81.318742,40.508363,9.934313,-165.514219,2951.017222,3.632909
0.020000,279.838780,81.247506,40.672651,8.214367,-85.997293,3975.846296,3.545551
0.020000,279.683804,81.189284,40.838202,8.277594,3.161352,4457.932234,3.458290
0.020000,279.490710,81.135357,41.038686,10.024180,87.329312,4208.397998,3.373716
0.020000,279.233390,81.085892,41.300717,13.101561,153.869046,3326.986734,3.293878
0.020000,278.894922,81.047367,41.641370,17.032647,196.554302,2134.262783,3.220088
0.020000,278.468256,81.028918,42.068435,21.353241,216.029683,973.769043,3.152945
0.020000,277.954384,81.039331,42.582413,25.698900,217.282951,62.663417,3.092488
0.020000,277.273741,81.090694,43.264991,34.128901,421.500035,10210.854174,3.050212
0.020000,276.442150,81.181297,44.101503,41.825599,384.834891,-1833.257183,3.014563
0.020000,275.690219,81.292528,44.861617,38.005680,-190.995932,-28791.541156,2.973037
0.020000,275.037301,81.419212,45.526711,33.254735,-237.547232,-2327.565015,2.924204
0.020000,274.507009,81.551432,46.073238,27.326326,-296.420453,-2943.661017,2.866251
0.020000,274.126524,81.671877,46.472331,19.954673,-368.582640,-3608.109360,2.796956
0.020000,273.923295,81.752745,46.691059,10.936370,-450.915157,-4116.625869,2.713786
0.020000,273.916372,81.754219,46.698137,0.353929,-529.122057,-3910.345001,2.614312
0.020000,274.100414,81.629817,46.920279,11.107101,537.658601,53339.032902,2.497215
0.020000,274.426524,81.346940,47.351983,21.585176,523.903728,-687.743613,2.363983
0.020000,274.799045,80.922490,47.916721,28.236899,332.586141,-9565.879382,2.220505
0.020000,275.110574,80.445715,48.486251,28.476531,11.981604,-16030.226834,2.076658
0.020000,275.298304,80.049609,48.924592,21.917032,-327.974943,-16997.827359,1.942915
0.020000,275.366442,79.846469,49.138855,10.713144,-560.194387,-11610.972168,1.826425
0.020000,275.359702,79.888958,49.181876,2.151031,-428.105638,6604.437405,1.729731
0.020000,275.326883,80.177201,49.471981,14.505260,617.711456,52290.854701,1.652052
0.020000,275.302775,80.684436,49.979788,25.390370,544.255501,-3672.797714,1.591121
0.020000,275.306285,81.377281,50.672642,34.642674,462.615198,-4082.015149,1.544422
0.020000,275.344596,82.225802,51.522028,42.469289,391.330741,-3564.222859,1.509762
0.020000,275.417585,83.206919,52.505856,49.191432,336.107136,-2761.180249,1.485443
0.020000,275.520859,84.304743,53.608526,55.133503,297.103565,-1950.178559,1.470265
0.020000,275.647449,85.509955,54.820369,60.592113,272.930512,-1208.652642,1.463483
0.020000,275.788502,86.819100,56.137091,65.836115,262.200091,-536.521081,1.464770
0.020000,275.933265,88.234120,57.559496,71.120263,264.207366,100.363749,1.474186
0.020000,276.068453,89.762194,59.093538,76.702102,279.091982,744.230806,1.492191
0.020000,276.176960,91.415798,60.750699,82.858053,307.797556,1435.278704,1.519668
0.020000,276.235700,93.212714,62.548574,89.893754,351.785054,2199.374897,1.557975
0.020000,276.212310,95.175336,64.511336,98.138106,412.217570,3021.625838,1.608973
0.020000,276.060683,97.326972,66.668308,107.848573,485.523343,3665.288651,1.674963
0.020000,275.717025,99.680835,69.047125,118.940859,554.614299,3454.547761,1.758269
0.020000,275.238936,101.749369,71.170189,106.153218,-639.382045,-59699.817183,1.825268
0.020000,275.000165,102.711192,72.161207,49.550883,-2830.116720,-109536.733742,1.803136
0.020000,274.782722,103.675945,73.150160,49.447673,-5.160530,141247.809503,1.781982
0.020000,274.586173,104.640287,74.134329,49.208420,-11.962638,-340.105411,1.761901
0.020000,274.409807,105.601034,75.111129,48.840028,-18.419620,-322.849114,1.742958
0.020000,274.252510,106.556373,76.079332,48.410117,-21.495534,-153.795675,1.725172
0.020000,274.112959,107.505580,77.038742,47.970523,-21.979681,-24.207351,1.708528
0.020000,273.989869,108.447903,77.989070,47.516392,-22.706542,-36.343074,1.693003
0.020000,273.881988,109.382573,78.929945,47.043752,-23.632045,-46.275114,1.678569
0.020000,273.788109,110.308816,79.860934,46.549453,-24.714916,-54.143560,1.665193
0.020000,273.707064,111.225863,80.781556,46.031074,-25.918986,-60.203488,1.652837
0.020000,273.637732,112.132955,81.691293,45.486848,-27.211304,-64.615905,1.641462
0.020000,273.579040,113.029346,82.589603,44.915540,-28.565392,-67.704424,1.631026
0.020000,273.529964,113.914314,83.475931,44.316381,-29.957945,-69.627629,1.621487
0.020000,273.489533,114.787158,84.349711,43.688977,-31.370201,-70.612812,1.612800
0.020000,273.456827,115.647201,85.210375,43.033236,-32.787025,-70.841188,1.604923
0.020000,273.430981,116.493793,86.057362,42.349317,-34.195981,-70.447798,1.597812
0.020000,273.411187,117.326308,86.890113,41.637557,-35.587972,-69.599590,1.591424
0.020000,273.396687,118.144149,87.708082,40.898449,-36.955429,-68.372805,1.585717
0.020000,273.386779,118.946739,88.510733,40.132580,-38.293406,-66.898893,1.580650
0.020000,273.380816,119.733529,89.297546,39.340625,-39.597778,-65.218565,1.576182
0.020000,273.378201,120.503991,90.068012,38.523313,-40.865615,-63.391870,1.572276
0.020000,273.378387,121.257619,90.821640,37.681394,-42.095926,-61.515542,1.568892
0.020000,273.380881,121.993928,91.557953,36.815653,-43.287072,-59.557282,1.565995
0.020000,273.385232,122.712452,92.276490,35.926872,-44.439040,-57.598441,1.563548
0.020000,273.391039,123.412745,92.976807,35.015843,-45.551458,-55.620891,1.561518
0.020000,273.397943,124.094377,93.658474,34.083347,-46.624807,-53.667443,1.559872
0.020000,273.405626,124.756935,94.321077,33.130156,-47.659538,-51.736532,1.558577
0.020000,273.413813,125.400024,94.964218,32.157038,-48.655877,-49.816985,1.557604
0.020000,273.422261,126.023262,95.587513,31.164743,-49.614740,-47.943104,1.556922
0.020000,273.430767,126.626282,96.190593,30.154012,-50.536560,-46.091034,1.556503
0.020000,273.439156,127.208733,96.773105,29.125574,-51.421924,-44.268210,1.556320
0.020000,273.447288,127.770277,97.334708,28.080146,-52.271371,-42.472325,1.556347
0.020000,273.455046,128.310590,97.875076,27.018439,-53.085380,-40.700450,1.556559
0.020000,273.462343,128.829362,98.393899,25.941152,-53.864329,-38.947471,1.556931
0.020000,273.469113,129.326295,98.890879,24.848980,-54.608616,-37.214313,1.557442
0.020000,273.475311,129.801107,99.365731,23.742611,-55.318431,-35.490762,1.558068
0.020000,273.480911,130.253527,99.818186,22.622729,-55.994103,-33.783592,1.558790
0.020000,273.485903,130.683298,100.247986,21.490017,-56.635624,-32.076088,1.559588
0.020000,273.490294,131.090178,100.654889,20.345151,-57.243298,-30.383660,1.560442
0.020000,273.494099,131.473935,101.038665,19.188812,-57.816958,-28.682996,1.561335
0.020000,273.497346,131.834354,101.399099,18.021673,-58.356951,-26.999673,1.562251
0.020000,273.500071,132.171231,101.735987,16.844418,-58.862751,-25.289998,1.563175
0.020000,273.502316,132.484378,102.049142,15.657721,-59.334850,-23.604952,1.564090
0.020000,273.504127,132.773617,102.338387,14.462259,-59.773076,-21.911313,1.564985
0.020000,273.505555,133.038788,102.603561,13.258718,-60.177052,-20.198775,1.565846
0.020000,273.506650,133.279741,102.844517,12.047777,-60.547065,-18.500676,1.566662
0.020000,273.507464,133.496341,103.061119,10.830118,-60.882951,-16.794301,1.567423
0.020000,273.508045,133.688469,103.253248,9.606428,-61.184501,-15.077471,1.568120
0.020000,273.508441,133.856016,103.420796,8.377393,-61.451736,-13.361755,1.568744
0.020000,273.508696,133.998890,103.563669,7.143695,-61.684877,-11.657081,1.569289
0.020000,273.508847,134.117011,103.681790,5.906033,-61.883140,-9.913131,1.569747
0.020000,273.508928,134.210312,103.775092,4.665088,-62.047249,-8.205445,1.570115
0.020000,273.508965,134.279273,103.844052,3.448013,-60.853743,59.675295,1.570389
0.020000,273.508980,134.326462,103.891241,2.359461,-54.427576,321.308352,1.570579
0.020000,273.508985,134.356015,103.920794,1.477657,-44.090236,516.866980,1.570698
0.020000,273.508986,134.372079,103.936858,0.803188,-33.723429,518.340366,1.570763
0.020000,273.508986,134.378807,103.943586,0.336405,-23.339140,519.214478,1.570790
0.020000,273.508986,134.380357,103.945136,0.077483,-12.946092,519.652365,1.570796
0.020000,273.508986,134.380357,103.945136,0.000000,-3.874166,453.596326,1.570796
