dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.038709,12.999942,0.001970,0.196970,9.848485,492.424242,6.280208
0.020000,0.037859,12.999945,0.002820,0.042509,-7.723042,-878.576322,6.280273
0.020000,0.035946,12.999950,0.004733,0.095659,2.657487,519.026431,6.280420
0.020000,0.032544,12.999959,0.008135,0.170106,3.722392,53.245238,6.280682
0.020000,0.027226,12.999971,0.013453,0.265911,4.790227,53.391755,6.281091
0.020000,0.019562,12.999985,0.021117,0.383168,5.862860,53.631672,6.281681
0.020000,0.009335,12.999997,0.031344,0.511362,6.409673,27.340622,6.282467
0.020000,0.028544,13.000004,0.050553,0.960449,22.454344,802.233569,0.000267
0.020000,0.155049,13.000112,0.177058,6.325228,268.238990,12289.232304,0.001452
0.020000,0.302394,13.000428,0.324404,7.367302,52.103680,-10806.765531,0.002837
0.020000,0.470919,13.001040,0.492929,8.426290,52.949395,42.285765,0.004427
0.020000,0.660222,13.002048,0.682235,9.465267,51.948838,-50.027848,0.006220
0.020000,0.870608,13.003567,0.892626,10.519566,52.714979,38.307036,0.008224
0.020000,1.101840,13.005725,1.123869,11.562141,52.128758,-29.311044,0.010438
0.020000,1.353869,13.008661,1.375914,12.602268,52.006320,-6.121866,0.012866
0.020000,1.626684,13.012532,1.648757,13.642158,51.994527,-0.589669,0.015511
0.020000,1.920261,13.017506,1.942376,14.680930,51.938582,-2.797260,0.018377
0.020000,2.234552,13.023768,2.256730,15.717691,51.838078,-5.025218,0.021469
0.020000,2.569493,13.031515,2.591761,16.751546,51.692705,-7.268650,0.024790
0.020000,2.925000,13.040962,2.947393,17.781591,51.502259,-9.522279,0.028346
0.020000,3.300966,13.052335,3.323531,18.806924,51.266651,-11.780414,0.032142
0.020000,3.697268,13.065877,3.720064,19.826642,50.985912,-14.036932,0.036181
0.020000,4.113888,13.081851,4.136990,20.846304,50.983085,-0.141358,0.040472
0.020000,4.550785,13.100536,4.574286,21.864815,50.925586,-2.874966,0.045020
0.020000,5.007656,13.122217,5.031672,22.869294,50.223948,-35.081894,0.049830
0.020000,5.484637,13.147218,5.509307,23.881741,50.622330,19.919108,0.054912
0.020000,5.981418,13.175857,6.006913,24.880294,49.927650,-34.733982,0.060271
0.020000,6.497853,13.208481,6.524378,25.873249,49.647752,-13.994898,0.065915
0.020000,7.033928,13.245463,7.061727,26.867457,49.710395,3.132143,0.071853
0.020000,7.589445,13.287187,7.618809,27.854092,49.331757,-18.931893,0.078094
0.020000,8.164183,13.334052,8.195454,28.832287,48.909726,-21.101553,0.084646
0.020000,8.757964,13.386484,8.791545,29.804543,48.612840,-14.844327,0.091519
0.020000,9.370578,13.444927,9.406941,30.769781,48.261878,-17.548076,0.098721
0.020000,10.001966,13.509862,10.041660,31.735927,48.307289,2.270565,0.106266
0.020000,10.651739,13.581760,10.695398,32.686925,47.549906,-37.869184,0.114163
0.020000,11.319593,13.661125,11.367951,33.627671,47.037301,-25.630252,0.122420
0.020000,12.005528,13.748518,12.059431,34.573982,47.315575,13.913691,0.131055
0.020000,12.708959,13.844457,12.769374,35.497135,46.157654,-57.896013,0.140073
0.020000,13.429869,13.949557,13.497905,36.426572,46.471806,15.707566,0.149491
0.020000,14.167773,14.064397,14.244692,37.339326,45.637704,-41.705067,0.159320
0.020000,14.922348,14.189602,15.009584,38.244629,45.265162,-18.627098,0.169572
0.020000,15.693263,14.325826,15.792442,39.142876,44.912373,-17.639446,0.180260
0.020000,16.480140,14.473744,16.593102,40.032989,44.505650,-20.336171,0.191398
0.020000,17.282565,14.634049,17.411382,40.914009,44.051008,-22.732122,0.202999
0.020000,18.100078,14.807456,18.247084,41.785123,43.555661,-24.767316,0.215074
0.020000,18.932307,14.994726,19.100122,42.651890,43.338382,-10.863977,0.227637
0.020000,19.778736,15.196619,19.970297,43.508741,42.842543,-24.791912,0.240701
0.020000,20.638848,15.413923,20.857435,44.356908,42.408341,-21.710098,0.254277
0.020000,21.512095,15.647445,21.761366,45.196567,41.982946,-21.269752,0.268375
0.020000,22.398056,15.898057,22.682091,46.036227,41.983020,0.003658,0.283007
0.020000,23.296052,16.166589,23.619378,46.864345,41.405862,-28.857892,0.298181
0.020000,24.205509,16.453926,24.573146,47.688423,41.203924,-10.096866,0.313903
0.020000,25.125813,16.760968,25.543319,48.508612,41.009434,-9.724532,0.330181
0.020000,26.056385,17.088654,26.529899,49.329045,41.021660,0.611315,0.347017
0.020000,26.996556,17.437921,27.532850,50.147505,40.923026,-4.931697,0.364413
0.020000,27.944117,17.809106,28.550519,50.883467,36.798060,-206.248321,0.382338
0.020000,28.895621,18.201910,29.579914,51.469738,29.313560,-374.224963,0.400731
0.020000,29.847522,18.615758,30.617886,51.898622,21.444208,-393.467607,0.419522
0.020000,30.796508,19.049906,31.661466,52.178992,14.018497,-371.285562,0.438637
0.020000,31.739426,19.503414,32.707776,52.315488,6.824813,-359.684190,0.457998
0.020000,32.673223,19.975110,33.753947,52.308546,-0.347116,-358.596474,0.477523
0.020000,33.596361,20.464339,34.798709,52.238139,-3.520352,-158.661774,0.497156
0.020000,34.508783,20.971129,35.842429,52.185967,-2.608587,45.588249,0.516868
0.020000,35.410446,21.495495,36.885480,52.152543,-1.671219,46.868379,0.536632
0.020000,36.301318,22.037442,37.928245,52.138250,-0.714614,47.830270,0.556418
0.020000,37.181379,22.596962,38.971111,52.143334,0.254194,48.440375,0.576196
0.020000,38.050622,23.174035,40.014469,52.167888,1.227669,48.673760,0.595936
0.020000,38.909045,23.768627,41.058706,52.211847,2.197970,48.515039,0.615608
0.020000,39.756658,24.380691,42.104206,52.274990,3.157148,47.958888,0.635183
