dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001970,0.196970,9.848485,492.424242,6.280208
0.020000,0.000000,0.000000,0.009848,0.590909,19.696970,492.424242,6.280273
0.020000,0.000000,0.000000,0.027576,1.181818,29.545455,492.424242,6.280420
0.020000,0.000000,0.000000,0.059091,1.969697,39.393939,492.424242,6.280682
0.020000,0.000000,0.000000,0.108333,2.954545,49.242424,492.424242,6.281091
0.020000,0.000000,0.000000,0.179242,4.136364,59.090909,492.424242,6.281681
0.020000,0.000000,0.000000,0.273788,5.318182,59.090909,-0.000000,6.282467
0.020000,0.032013,0.000004,0.391970,6.500000,59.090909,-0.000000,0.000267
0.020000,0.173922,0.000126,0.533788,7.681818,59.090909,0.000000,0.001452
0.020000,0.339270,0.000481,0.699242,8.863636,59.090909,0.000000,0.002837
0.020000,0.528464,0.001168,0.888333,10.045455,59.090909,-0.000000,0.004427
0.020000,0.741087,0.002299,1.101061,11.227273,59.090909,0.000000,0.006220
0.020000,0.977518,0.004007,1.337424,12.409091,59.090909,0.000000,0.008224
0.020000,1.237532,0.006433,1.597424,13.590909,59.090909,-0.000000,0.010438
0.020000,1.521117,0.009737,1.881061,14.772727,59.090909,-0.000000,0.012866
0.020000,1.828313,0.014095,2.188333,15.954545,59.090909,0.000000,0.015511
0.020000,2.159145,0.019701,2.519242,17.136364,59.090909,-0.000000,0.018377
0.020000,2.513622,0.026763,2.873788,18.318182,59.090909,0.000000,0.021469
0.020000,2.891733,0.035510,3.251970,19.500000,59.090909,0.000000,0.024790
0.020000,3.293453,0.046184,3.653788,20.681818,59.090909,-0.000000,0.028346
0.020000,3.718737,0.059049,4.079242,21.863636,59.090909,0.000000,0.032142
0.020000,4.167523,0.074385,4.528333,23.045455,59.090909,0.000000,0.036181
0.020000,4.639879,0.092496,5.001061,24.227273,59.090909,-0.000000,0.040472
0.020000,5.135847,0.113708,5.497424,25.409091,59.090909,0.000000,0.045020
0.020000,5.655181,0.138354,6.017424,26.590909,59.090909,0.000000,0.049830
0.020000,6.198136,0.166813,6.561061,27.772727,59.090909,-0.000000,0.054912
0.020000,6.764470,0.199462,7.128333,28.954545,59.090909,0.000000,0.060271
0.020000,7.354130,0.236712,7.719242,30.136364,59.090909,-0.000000,0.065915
0.020000,7.967219,0.279008,8.333788,31.318182,59.090909,0.000000,0.071853
0.020000,8.603640,0.326808,8.971970,32.500000,59.090909,-0.000000,0.078094
0.020000,9.263271,0.380597,9.633788,33.681818,59.090909,0.000000,0.084646
0.020000,9.946046,0.440888,10.319242,34.863636,59.090909,0.000000,0.091519
0.020000,10.651872,0.508224,11.028333,36.045455,59.090909,-0.000000,0.098721
0.020000,11.380831,0.583194,11.761061,37.227273,59.090909,0.000000,0.106266
0.020000,12.132632,0.666384,12.517424,38.409091,59.090909,0.000000,0.114163
0.020000,12.907087,0.758417,13.297424,39.590909,59.090909,-0.000000,0.122420
0.020000,13.704364,0.859998,14.101061,40.772727,59.090909,0.000000,0.131055
0.020000,14.523956,0.971781,14.928333,41.954545,59.090909,0.000000,0.140073
0.020000,15.366024,1.094546,15.779242,43.136364,59.090909,0.000000,0.149491
0.020000,16.230181,1.229036,16.653788,44.318182,59.090909,-0.000000,0.159320
0.020000,17.116233,1.376060,17.551970,45.500000,59.090909,0.000000,0.169572
0.020000,18.023976,1.536465,18.473788,46.681818,59.090909,-0.000000,0.180260
0.020000,18.953154,1.711134,19.419242,47.863636,59.090909,-0.000000,0.191398
0.020000,19.903459,1.900985,20.388333,49.045455,59.090909,0.000000,0.202999
0.020000,20.874531,2.106967,21.381061,50.227273,59.090909,0.000000,0.215074
0.020000,21.866101,2.330096,22.397424,51.409091,59.090909,-0.000000,0.227637
0.020000,22.877726,2.571396,23.437424,52.590909,59.090909,0.000000,0.240701
0.020000,23.908943,2.831933,24.501061,53.772727,59.090909,-0.000000,0.254277
0.020000,24.959238,3.112805,25.588333,54.954545,59.090909,-0.000000,0.268375
0.020000,26.028234,3.415196,26.699242,56.136364,59.090909,0.000000,0.283007
0.020000,27.115215,3.740246,27.833788,57.318182,59.090909,-0.000000,0.298181
0.020000,28.219567,4.089164,28.991970,58.500000,59.090909,0.000000,0.313903
0.020000,29.340595,4.463179,30.173788,59.681818,59.090909,0.000000,0.330181
0.020000,30.477608,4.863566,31.379242,60.863636,59.090909,0.000000,0.347017
0.020000,31.629770,5.291591,32.608333,62.045455,59.090909,-0.000000,0.364413
0.020000,32.794298,5.747773,33.859091,63.030303,49.242424,-492.424242,0.382338
0.020000,33.966813,6.231822,35.127576,63.818182,39.393939,-492.424242,0.400731
0.020000,35.142734,6.743069,36.409848,64.409091,29.545455,-492.424242,0.419522
0.020000,36.317685,7.280598,37.701970,64.803030,19.696970,-492.424242,0.438637
0.020000,37.487423,7.843203,39.000000,65.000000,9.848485,-492.424242,0.457998
0.020000,38.647777,8.429344,40.300000,65.000000,0.000000,-492.424242,0.477523
0.020000,39.796423,9.038087,41.600000,65.000000,0.000000,0.000000,0.497156
0.020000,40.932865,9.669307,42.900000,65.000000,0.000000,0.000000,0.516868
0.020000,42.056624,10.322836,44.200000,65.000000,0.000000,0.000000,0.536632
0.020000,43.167238,10.998459,45.500000,65.000000,0.000000,0.000000,0.556418
0.020000,44.264269,11.695922,46.800000,65.000000,0.000000,0.000000,0.576196
0.020000,45.347305,12.414926,48.100000,65.000000,0.000000,0.000000,0.595936
0.020000,46.415960,13.155134,49.400000,65.000000,0.000000,0.000000,0.615608
0.020000,47.469884,13.916173,50.700000,65.000000,0.000000,0.000000,0.635183
0.020000,48.508756,14.697632,52.000000,65.000000,0.000000,0.000000,0.654633
0.020000,49.532294,15.499071,53.300000,65.000000,0.000000,0.000000,0.673928
0.020000,50.540252,16.320020,54.600000,65.000000,0.000000,0.000000,0.693041
0.020000,51.532420,17.159983,55.900000,65.000000,0.000000,0.000000,0.711948
0.020000,52.508629,18.018443,57.200000,65.000000,0.000000,0.000000,0.730623
0.020000,53.468749,18.894864,58.500000,65.000000,0.000000,0.000000,0.749044
0.020000,54.412686,19.788696,59.800000,65.000000,0.000000,0.000000,0.767190
0.020000,55.340381,20.699372,61.100000,65.000000,0.000000,0.000000,0.785040
0.020000,56.251817,21.626320,62.400000,65.000000,0.000000,0.000000,0.802578
0.020000,57.147011,22.568964,63.700000,65.000000,0.000000,0.000000,0.819788
0.020000,58.026014,23.526726,65.000000,65.000000,0.000000,0.000000,0.836656
0.020000,58.888909,24.499026,66.300000,65.000000,0.000000,0.000000,0.853170
0.020000,59.735811,25.485290,67.600000,65.000000,0.000000,0.000000,0.869319
0.020000,60.566862,26.484950,68.900000,65.000000,0.000000,0.000000,0.885096
0.020000,61.382231,27.497442,70.200000,65.000000,0.000000,0.000000,0.900493
0.020000,62.182113,28.522216,71.500000,65.000000,0.000000,0.000000,0.915505
0.020000,62.966722,29.558729,72.800000,65.000000,0.000000,0.000000,0.930129
0.020000,63.736292,30.606453,74.100000,65.000000,0.000000,0.000000,0.944362
0.020000,64.491082,31.664876,75.400000,65.000000,0.000000,0.000000,0.958203
0.020000,65.231360,32.733499,76.700000,65.000000,0.000000,0.000000,0.971651
0.020000,65.957413,33.811841,78.000000,65.000000,0.000000,0.000000,0.984708
