dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.038709,-12.999942,0.001970,0.196970,9.848485,492.424242,6.280208
0.020000,-0.037859,-12.999945,0.002820,0.042509,-7.723042,-878.576322,6.280273
0.020000,-0.035946,-12.999950,0.004733,0.095659,2.657487,519.026431,6.280420
0.020000,-0.032544,-12.999959,0.008135,0.170106,3.722392,53.245238,6.280682
0.020000,-0.027226,-12.999971,0.013453,0.265911,4.790227,53.391755,6.281091
0.020000,-0.019562,-12.999985,0.021117,0.383168,5.862860,53.631672,6.281681
0.020000,-0.009335,-12.999997,0.031344,0.511362,6.409673,27.340622,6.282467
0.020000,0.035483,-12.999995,0.076162,2.240885,86.476156,4003.324154,0.000267
0.020000,0.192796,-12.999860,0.233475,7.865656,281.238541,9738.119255,0.001452
0.020000,0.376146,-12.999467,0.416826,9.167536,65.094018,-10807.226147,0.002837
0.020000,0.586010,-12.998705,0.626691,10.493273,66.286846,59.641423,0.004427
0.020000,0.821953,-12.997449,0.862637,11.797318,65.202240,-54.230341,0.006220
0.020000,1.084428,-12.995554,1.125120,13.124114,66.339838,56.879927,0.008224
0.020000,1.373224,-12.992859,1.413927,14.440387,65.813626,-26.310610,0.010438
0.020000,1.688365,-12.989187,1.729090,15.758130,65.887134,3.675382,0.012866
0.020000,2.029942,-12.984341,2.070701,17.080564,66.121713,11.728974,0.015511
0.020000,2.398030,-12.978104,2.438842,18.407058,66.324726,10.150621,0.018377
0.020000,2.792691,-12.970241,2.833582,19.736979,66.496013,8.564378,0.021469
0.020000,3.213972,-12.960496,3.254976,21.069689,66.635501,6.974397,0.024790
0.020000,3.661905,-12.948593,3.703067,22.404553,66.743202,5.385025,0.028346
0.020000,4.136507,-12.934236,4.177886,23.740937,66.819217,3.800799,0.032142
0.020000,4.637779,-12.917107,4.679450,25.078212,66.863746,2.226442,0.036181
0.020000,5.165869,-12.896858,5.207929,26.423948,67.286798,21.152592,0.040472
0.020000,5.720909,-12.873120,5.763476,27.777350,67.670114,19.165794,0.045020
0.020000,6.302706,-12.845510,6.345928,29.122599,67.262446,-20.383406,0.049830
0.020000,6.911636,-12.813592,6.955693,30.488276,68.283840,51.069727,0.054912
0.020000,7.547522,-12.776933,7.592636,31.847123,67.942349,-17.074591,0.060271
0.020000,8.210407,-12.735057,8.256841,33.210286,68.158137,10.789439,0.065915
0.020000,8.900511,-12.687448,8.948586,34.587205,68.845943,34.390304,0.071853
0.020000,9.617834,-12.633570,9.667929,35.967196,68.999591,7.682356,0.078094
0.020000,10.362358,-12.572859,10.414924,37.349741,69.127213,6.381122,0.084646
0.020000,11.134128,-12.504708,11.189698,38.738691,69.447516,16.015171,0.091519
0.020000,11.933166,-12.428479,11.992364,40.133275,69.729227,14.085505,0.098721
0.020000,12.759696,-12.343473,12.823254,41.544512,70.561842,41.630772,0.106266
0.020000,13.613526,-12.248993,13.682295,42.952038,70.376307,-9.276743,0.114163
0.020000,14.494581,-12.144290,14.569550,44.362766,70.536360,8.002644,0.122420
0.020000,15.403200,-12.028522,15.485514,45.798201,71.771756,61.769805,0.131055
0.020000,16.338954,-11.900895,16.429932,47.220887,71.134334,-31.871094,0.140073
0.020000,17.302179,-11.760464,17.403339,48.670390,72.475121,67.039317,0.149491
0.020000,18.292588,-11.606324,18.405671,50.116590,72.310014,-8.255345,0.159320
0.020000,19.310117,-11.437483,19.437114,51.572114,72.776184,23.308506,0.169572
0.020000,20.354689,-11.252897,20.497869,53.037780,73.283292,25.355398,0.180260
0.020000,21.426168,-11.051475,21.588115,54.512297,73.725847,22.127758,0.191398
0.020000,22.524354,-10.832079,22.708002,55.994365,74.103436,18.879458,0.202999
0.020000,23.648984,-10.593521,23.857656,57.482685,74.415990,15.627707,0.215074
0.020000,24.799896,-10.334534,25.037347,58.984566,75.094053,33.903154,0.227637
0.020000,25.976716,-10.053828,26.247183,60.491772,75.360266,13.310634,0.240701
0.020000,27.179038,-9.750058,27.487285,62.005122,75.667549,15.364151,0.254277
0.020000,28.406382,-9.421835,28.757759,63.523683,75.928042,13.024632,0.268375
0.020000,29.658412,-9.067664,30.058918,65.057976,76.714631,39.329446,0.283007
0.020000,30.934378,-8.686097,31.390716,66.589876,76.595027,-5.980196,0.298181
0.020000,32.233625,-8.275598,32.753269,68.127655,76.888905,14.693940,0.313903
0.020000,33.555376,-7.834611,34.146645,69.668783,77.056417,8.375603,0.330181
0.020000,34.898832,-7.361522,35.570964,71.215974,77.359533,15.155798,0.347017
0.020000,36.262984,-6.854739,37.026210,72.762279,77.315294,-2.211960,0.364413
0.020000,37.644479,-6.313560,38.509923,74.185638,71.167936,-307.367896,0.382338
0.020000,39.038006,-5.738266,40.017530,75.380376,59.736867,-571.553462,0.400731
0.020000,40.437946,-5.129619,41.544057,76.326328,47.297607,-621.963002,0.419522
0.020000,41.838861,-4.488710,43.084618,77.028049,35.086047,-610.578024,0.438637
0.020000,43.235420,-3.817009,44.634314,77.484819,22.838526,-612.376050,0.457998
0.020000,44.622331,-3.116422,46.188131,77.690829,10.300514,-626.900560,0.477523
0.020000,45.996485,-2.388165,47.743333,77.760123,3.464660,-341.792715,0.497156
0.020000,47.356947,-1.632515,49.299567,77.811710,2.579353,-44.265360,0.516868
0.020000,48.702802,-0.849824,50.856465,77.844880,1.658497,-46.042807,0.536632
0.020000,50.033158,-0.040523,52.413647,77.859103,0.711169,-47.366392,0.556418
0.020000,51.347159,0.794882,53.970728,77.854037,-0.253301,-48.223514,0.576196
0.020000,52.643988,1.655817,55.527318,77.829527,-1.225509,-48.610403,0.595936
0.020000,53.922876,2.541642,57.083030,77.785604,-2.196154,-48.532227,0.615608
