dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,109.540254,126.771054,0.001970,0.196970,9.848485,492.424242,0.001510
0.020000,109.542026,126.771057,0.003742,0.088602,-5.418364,-763.342425,0.001373
0.020000,109.546014,126.771061,0.007730,0.199412,5.540457,547.941051,0.001067
0.020000,109.553108,126.771067,0.014824,0.354701,7.764486,111.201453,0.000521
0.020000,109.583402,126.771065,0.045118,1.514688,57.999330,2511.742169,6.282852
0.020000,109.670309,126.770982,0.132025,4.345383,141.534742,4176.770612,6.281621
0.020000,109.786277,126.770706,0.247993,5.798380,72.649852,-3444.244509,6.279973
0.020000,109.931354,126.770090,0.393071,7.253922,72.777111,6.362971,6.277905
0.020000,110.105571,126.768953,0.567293,8.711060,72.856900,3.989456,6.275412
0.020000,110.309077,126.767073,0.770807,10.175731,73.233541,18.832014,6.272484
0.020000,110.541931,126.764189,1.003679,11.643600,73.393480,7.996960,6.269116
0.020000,110.804289,126.759997,1.266070,13.119549,73.797433,20.197635,6.265297
0.020000,111.096227,126.754150,1.558067,14.599854,74.015227,10.889735,6.261017
0.020000,111.417926,126.746254,1.879863,16.089790,74.496842,24.080734,6.256263
0.020000,111.769543,126.735864,2.231634,17.588529,74.936936,22.004702,6.251023
0.020000,112.151210,126.722490,2.613534,19.095039,75.325481,19.427236,6.245281
0.020000,112.563157,126.705578,3.025829,20.614732,75.984643,32.958100,6.239021
0.020000,113.005532,126.684525,3.468704,22.143745,76.450681,23.301937,6.232226
0.020000,113.478577,126.658658,3.942456,23.687616,77.193540,37.142946,6.224875
0.020000,113.982449,126.627244,4.447306,25.242483,77.743351,27.490522,6.216949
0.020000,114.517388,126.589474,4.983577,26.813567,78.554188,40.541840,6.208425
0.020000,115.083595,126.544466,5.551570,28.399643,79.303826,37.481905,6.199278
0.020000,115.681287,126.491255,6.151626,30.002800,80.157831,42.700256,6.189484
0.020000,116.310661,126.428791,6.784092,31.623283,81.024144,43.315662,6.179014
0.020000,116.971897,126.355932,7.449330,33.261899,81.930792,45.332381,6.167841
0.020000,117.665209,126.271430,8.147773,34.922141,83.012117,54.066269,6.155933
0.020000,118.390704,126.173943,8.879788,36.600767,83.931315,45.959895,6.143260
0.020000,119.148523,126.062010,9.645829,38.302039,85.063560,56.612244,6.129788
0.020000,119.938708,125.934061,10.446306,40.023866,86.091389,51.391467,6.115485
