dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.731266,17.611279,0.007725,0.772493,38.624627,1931.231339,2.638417
0.020000,189.733072,17.610285,0.009786,0.103070,-33.471116,-3604.787137,2.638575
0.020000,189.712372,17.621667,0.033409,1.181132,53.903104,4368.710992,2.638891
0.020000,189.636474,17.663374,0.120011,4.330108,157.448791,5177.284381,2.639360
0.020000,189.535158,17.718977,0.235583,5.778583,72.423760,-4251.251558,2.639977
0.020000,189.408320,17.788472,0.380211,7.231421,72.641874,10.905681,2.640736
0.020000,189.255834,17.871856,0.554006,8.689746,72.916250,13.718813,2.641629
0.020000,189.077554,17.969125,0.757096,10.154470,73.236201,15.997517,2.642645
0.020000,188.873305,18.080277,0.989630,11.626717,73.612342,18.807081,2.643773
0.020000,188.642894,18.205316,1.251783,13.107639,74.046134,21.689573,2.644999
0.020000,188.386107,18.344246,1.543743,14.598041,74.520091,23.697867,2.646310
0.020000,188.102710,18.497081,1.865725,16.099076,75.051755,26.583210,2.647688
0.020000,187.792454,18.663838,2.217956,17.611570,75.624664,28.645419,2.649116
0.020000,187.455071,18.844549,2.600688,19.136596,76.251332,31.333410,2.650575
0.020000,187.090279,19.039253,3.014190,20.675063,76.923349,33.600887,2.652044
0.020000,186.697781,19.248007,3.458748,22.227925,77.643077,35.986382,2.653500
0.020000,186.277274,19.470882,3.934668,23.795988,78.403173,38.004774,2.654922
0.020000,185.828439,19.707972,4.442275,25.380344,79.217775,40.730099,2.656282
0.020000,185.350951,19.959391,4.981910,26.981747,80.070166,42.619558,2.657556
0.020000,184.844480,20.225284,5.553935,28.601243,80.974804,45.231906,2.658715
0.020000,184.308689,20.505827,6.158729,30.239711,81.923413,47.430469,2.659731
0.020000,183.743240,20.801228,6.796690,31.898073,82.918098,49.734218,2.660572
0.020000,183.147792,21.111742,7.468238,33.577400,83.966346,52.412403,2.661206
0.020000,182.522006,21.437665,8.173812,35.278680,85.063999,54.882692,2.661600
0.020000,181.865545,21.779350,8.913872,37.003029,86.217453,57.672652,2.661718
0.020000,181.178076,22.137207,9.688905,38.751610,87.429049,60.579801,2.661522
0.020000,180.459273,22.511712,10.499418,40.525677,88.703332,63.714180,2.660974
0.020000,179.708817,22.903416,11.345950,42.326590,90.045647,67.115765,2.660033
