dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,202.268734,40.388721,0.007725,0.772493,38.624627,1931.231339,2.638417
0.020000,202.266928,40.389715,0.009786,0.103070,-33.471116,-3604.787137,2.638575
0.020000,202.239042,40.405050,0.041611,1.591240,74.408490,5393.980297,2.638891
0.020000,202.152457,40.452630,0.140407,4.939809,167.428426,4650.996809,2.639360
0.020000,202.037066,40.515957,0.272033,6.581298,82.074458,-4267.698384,2.639977
0.020000,201.892917,40.594937,0.436402,8.218423,81.856269,-10.909497,2.640736
0.020000,201.720068,40.689456,0.633405,9.850176,81.587656,-13.430631,2.641629
0.020000,201.518597,40.799377,0.862912,11.475334,81.257876,-16.489021,2.642645
0.020000,201.288591,40.924547,1.124771,13.092945,80.880562,-18.865683,2.643773
0.020000,201.030152,41.064796,1.418813,14.702125,80.458988,-21.078676,2.644999
0.020000,200.743398,41.219940,1.744846,16.301631,79.975331,-24.182860,2.646310
0.020000,200.428464,41.389783,2.102659,17.890655,79.451160,-26.208540,2.647688
0.020000,200.085503,41.574119,2.492020,19.468053,78.869945,-29.060752,2.649116
0.020000,199.714686,41.772738,2.912680,21.033001,78.247383,-31.128136,2.650575
0.020000,199.316203,41.985425,3.364370,22.584515,77.575710,-33.583624,2.652044
0.020000,198.890266,42.211964,3.846804,24.121693,76.858865,-35.842246,2.653500
0.020000,198.437111,42.452143,4.359674,25.643491,76.089895,-38.448508,2.654922
0.020000,197.956995,42.705757,4.902658,27.149183,75.284622,-40.263640,2.656282
0.020000,197.450203,42.972607,5.475411,28.637683,74.424998,-42.981231,2.657556
0.020000,196.917047,43.252510,6.077575,30.108200,73.525831,-44.958339,2.658715
0.020000,196.357868,43.545299,6.708770,31.559735,72.576791,-47.451965,2.659731
0.020000,195.773039,43.850825,7.368596,32.991292,71.577814,-49.948860,2.660572
0.020000,195.162969,44.168964,8.056635,34.401957,70.533251,-52.228156,2.661206
0.020000,194.528102,44.499618,8.772448,35.790640,69.434186,-54.953247,2.661600
0.020000,193.868923,44.842718,9.515573,37.156267,68.281329,-57.642881,2.661718
0.020000,193.185959,45.198229,10.285526,38.497662,67.069732,-60.579841,2.661522
0.020000,192.479786,45.566153,11.081798,39.813564,65.795101,-63.731546,2.660974
0.020000,191.751032,45.946530,11.903850,41.102607,64.452187,-67.145718,2.660033
0.020000,191.000379,46.339443,12.751116,42.363327,63.035959,-70.811399,2.658654
0.020000,190.228573,46.745020,13.622997,43.594041,61.535701,-75.012865,2.656792
0.020000,189.436428,47.163436,14.518858,44.793024,59.949166,-79.326749,2.654397
0.020000,188.624832,47.594915,15.438022,45.958193,58.258453,-84.535661,2.651418
0.020000,187.794756,48.039733,16.379769,47.087396,56.460158,-89.914731,2.647799
