dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.730929,17.611464,0.001977,0.197673,9.883674,494.183699,2.638387
0.020000,189.731392,17.611209,0.002505,0.026426,-8.562367,-922.302032,2.638428
0.020000,189.732433,17.610637,0.003693,0.059373,1.647320,510.484356,2.638519
0.020000,189.734277,17.609622,0.005798,0.105256,2.294188,32.343371,2.638681
0.020000,189.705583,17.625400,0.038544,1.637302,76.602294,3715.405316,2.638933
0.020000,189.647320,17.657417,0.105025,3.324032,84.336466,386.708566,2.639293
0.020000,189.569565,17.700103,0.193726,4.435070,55.551935,-1439.226535,2.639769
0.020000,189.472259,17.753455,0.304699,5.548635,55.678251,6.315830,2.640356
0.020000,189.355326,17.817471,0.438008,6.665457,55.841087,8.141774,2.641049
0.020000,189.218678,17.892148,0.593730,7.786097,56.032009,9.546091,2.641843
0.020000,189.062212,17.977484,0.771954,8.911204,56.255338,11.166461,2.642731
0.020000,188.885813,18.073479,0.972781,10.041375,56.508563,12.661262,2.643705
0.020000,188.689352,18.180133,1.196325,11.177198,56.791156,14.129639,2.644756
0.020000,188.472688,18.297451,1.442713,12.319382,57.109200,15.902182,2.645875
0.020000,188.235670,18.425439,1.712079,13.468317,57.446714,16.875738,2.647050
0.020000,187.978135,18.564107,2.004574,14.624738,57.821073,18.717915,2.648272
0.020000,187.699909,18.713471,2.320357,15.789173,58.221751,20.033903,2.649526
0.020000,187.400811,18.873554,2.659601,16.962187,58.650683,21.446595,2.650800
0.020000,187.080649,19.044384,3.022488,18.144335,59.107438,22.837743,2.652081
0.020000,186.739225,19.225999,3.409210,19.336123,59.589370,24.096639,2.653353
0.020000,186.376334,19.418447,3.819974,20.538160,60.101861,25.624543,2.654600
0.020000,185.991764,19.621788,4.254992,21.750912,60.637575,26.785672,2.655806
0.020000,185.585300,19.836093,4.714492,22.974998,61.204317,28.337137,2.656953
0.020000,185.156720,20.061450,5.198710,24.210891,61.794647,29.516492,2.658024
0.020000,184.705800,20.297966,5.707893,25.459191,62.415022,31.018755,2.658999
0.020000,184.232314,20.545763,6.242302,26.720420,63.061425,32.320159,2.659858
0.020000,183.736034,20.804989,6.802205,27.995157,63.736877,33.772593,2.660581
0.020000,183.216732,21.075814,7.387885,29.283987,64.441461,35.229198,2.661145
0.020000,182.674180,21.358437,7.999635,30.587524,65.176869,36.770370,2.661529
0.020000,182.108150,21.653086,8.637764,31.906426,65.945084,38.410744,2.661709
0.020000,181.518418,21.960023,9.302590,33.241343,66.745849,40.038273,2.661659
0.020000,180.904762,22.279549,9.994451,34.593008,67.583286,41.871861,2.661355
0.020000,180.266965,22.612005,10.713694,35.962187,68.458949,43.783159,2.660769
0.020000,179.604816,22.957777,11.460689,37.349712,69.376229,45.863968,2.659873
0.020000,178.918109,23.317305,12.235818,38.756471,70.337957,48.086398,2.658637
0.020000,178.206648,23.691079,13.039487,40.183459,71.349380,50.571151,2.657031
0.020000,177.470247,24.079656,13.872121,41.631705,72.412298,53.145931,2.655021
0.020000,176.708729,24.483656,14.734169,43.102369,73.533234,56.046768,2.652574
0.020000,175.921932,24.903776,15.626104,44.596780,74.720556,59.366102,2.649652
0.020000,175.109713,25.340792,16.548429,46.116220,75.971970,62.570710,2.646217
0.020000,174.271947,25.795569,17.501673,47.662228,77.300389,66.420946,2.642228
0.020000,173.408529,26.269073,18.486405,49.236600,78.718599,70.910510,2.637642
0.020000,172.519386,26.762373,19.503223,50.840894,80.214706,74.805332,2.632412
0.020000,171.604479,27.276657,20.552767,52.477213,81.815977,80.063572,2.626489
0.020000,170.663806,27.813241,21.635721,54.147680,83.523361,85.369180,2.619822
0.020000,169.697416,28.373582,22.752812,55.854528,85.342368,90.950340,2.612353
0.020000,168.705415,28.959288,23.904817,57.600281,87.287659,97.264590,2.604022
0.020000,167.687986,29.572130,25.092563,59.387268,89.349352,103.084637,2.594768
0.020000,166.645393,30.214062,26.316930,61.218389,91.556055,110.335122,2.584520
0.020000,165.578009,30.887227,27.578857,63.096346,93.897822,117.088371,2.573208
0.020000,164.486335,31.593974,28.879335,65.023892,96.377328,123.975310,2.560755
0.020000,163.371029,32.336868,30.219409,67.003695,98.990169,130.642035,2.547081
0.020000,162.232938,33.118700,31.600174,69.038270,101.728721,136.927617,2.532102
0.020000,161.075032,33.941125,33.020431,71.012831,98.728059,-150.033100,2.515756
0.020000,159.902425,34.804420,34.476551,72.805987,89.657791,-453.513433,2.498021
0.020000,158.720482,35.708650,35.964712,74.408051,80.103221,-477.728502,2.478884
0.020000,157.534816,36.653583,37.480859,75.807376,69.966224,-506.849829,2.458355
0.020000,156.351270,37.638587,39.020669,76.990474,59.154899,-540.566253,2.436462
0.020000,155.177015,38.661520,40.577995,77.866329,43.792779,-768.105993,2.413279
0.020000,154.019313,39.719484,42.146295,78.414972,27.432114,-818.033268,2.388912
0.020000,152.884305,40.809804,43.720156,78.693055,13.904162,-676.397588,2.363474
0.020000,151.778070,41.929014,45.293810,78.682710,-0.517261,-721.071130,2.337103
0.020000,150.706501,43.072807,46.861140,78.366509,-15.810009,-764.637410,2.309967
0.020000,149.675172,44.236010,48.415707,77.728356,-31.907669,-804.882993,2.282256
0.020000,148.688189,45.413844,49.952402,76.834708,-44.682401,-638.736636,2.254154
0.020000,147.747587,46.602966,51.468562,75.808044,-51.333218,-332.540819,2.225807
0.020000,146.854441,47.800503,52.962484,74.696085,-55.597933,-213.235778,2.197345
0.020000,146.009490,49.003389,54.432477,73.499659,-59.821299,-211.168273,2.168900
0.020000,145.213117,50.208427,55.876889,72.220589,-63.953516,-206.610844,2.140598
0.020000,144.465336,51.412358,57.294149,70.862983,-67.880266,-196.337515,2.112560
0.020000,143.765799,52.611920,58.682782,69.431680,-71.565191,-184.246258,2.084899
0.020000,143.113800,53.803923,60.041448,67.933296,-74.919193,-167.700067,2.057719
0.020000,142.508313,54.985291,61.368944,66.374791,-77.925228,-150.301757,2.031113
0.020000,141.948017,56.153123,62.664229,64.764251,-80.527018,-130.089522,2.005159
0.020000,141.431344,57.304709,63.926410,63.109058,-82.759656,-111.631902,1.979928
