dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,202.269071,40.388536,0.001977,0.197673,9.883674,494.183699,2.638387
0.020000,202.268608,40.388791,0.002505,0.026426,-8.562367,-922.302032,2.638428
0.020000,202.267567,40.389363,0.003693,0.059373,1.647320,510.484356,2.638519
0.020000,202.265723,40.390378,0.005798,0.105256,2.294188,32.343371,2.638681
0.020000,202.231291,40.409312,0.045092,1.964702,92.972287,4533.904978,2.638933
0.020000,202.164822,40.445838,0.120936,3.792215,91.375665,-79.831123,2.639293
0.020000,202.076228,40.494475,0.222002,5.053294,63.053922,-1416.087142,2.639769
0.020000,201.965540,40.555164,0.348237,6.311744,62.922497,-6.571253,2.640356
0.020000,201.832790,40.627839,0.499578,7.567040,62.764829,-7.883416,2.641049
0.020000,201.678024,40.712417,0.675947,8.818479,62.571951,-9.643897,2.641843
0.020000,201.501291,40.808807,0.877257,10.065470,62.349513,-11.121906,2.642731
0.020000,201.302651,40.916905,1.103404,11.307379,62.095486,-12.701333,2.643705
0.020000,201.082174,41.036598,1.354276,12.543583,61.810176,-14.265477,2.644756
0.020000,200.839934,41.167764,1.629748,13.773609,61.501324,-15.442601,2.645875
0.020000,200.576020,41.310275,1.929681,14.996649,61.152003,-17.466098,2.647050
0.020000,200.290529,41.463996,2.253927,16.212302,60.782619,-18.469187,2.648272
0.020000,199.983567,41.628788,2.602326,17.419948,60.382325,-20.014695,2.649526
0.020000,199.655253,41.804508,2.974707,18.619032,59.954165,-21.407974,2.650800
0.020000,199.305718,41.991011,3.370887,19.809001,59.498448,-22.785864,2.652081
0.020000,198.935104,42.188154,3.790672,20.989260,59.012964,-24.274222,2.653353
0.020000,198.543568,42.395793,4.233859,22.159341,58.504068,-25.444764,2.654600
0.020000,198.131281,42.613789,4.700231,23.318623,57.964105,-26.998160,2.655806
0.020000,197.698427,42.842008,5.189564,24.466654,57.401546,-28.127970,2.656953
0.020000,197.245207,43.080322,5.701621,25.602818,56.808169,-29.668856,2.658024
0.020000,196.771839,43.328612,6.236153,26.726624,56.190298,-30.893554,2.658999
0.020000,196.278559,43.586769,6.792903,27.837478,55.542719,-32.378921,2.659858
0.020000,195.765622,43.854697,7.371599,28.934823,54.867250,-33.773477,2.660581
0.020000,195.233302,44.132311,7.971960,30.018065,54.162112,-35.256893,2.661145
0.020000,194.681898,44.419545,8.593692,31.086598,53.426664,-36.772394,2.661529
0.020000,194.111728,44.716349,9.236488,32.139797,52.659943,-38.336047,2.661709
0.020000,193.523138,45.022692,9.900028,33.176959,51.858087,-40.092784,2.661659
0.020000,192.916500,45.338564,10.583975,34.197378,51.020959,-41.856395,2.661355
0.020000,192.292215,45.663976,11.287981,35.200279,50.145055,-43.795203,2.660769
0.020000,191.650717,45.998964,12.011677,36.184837,49.227888,-45.858369,2.659873
0.020000,190.992472,46.343589,12.754680,37.150148,48.265548,-48.116971,2.658637
0.020000,190.317983,46.697939,13.516586,38.095259,47.255526,-50.501144,2.657031
0.020000,189.627794,47.062129,14.296967,39.019080,46.191049,-53.223808,2.655021
0.020000,188.922492,47.436303,15.095376,39.920457,45.068869,-56.109026,2.652574
0.020000,188.202711,47.820636,15.911340,40.798183,43.886288,-59.129031,2.649652
0.020000,187.469138,48.215333,16.744356,41.650779,42.629809,-62.823970,2.646217
0.020000,186.722515,48.620629,17.593891,42.476758,41.298975,-66.541721,2.642228
0.020000,185.963645,49.036793,18.459383,43.274595,39.891817,-70.357889,2.637642
0.020000,185.193399,49.464122,19.340228,44.042272,38.383853,-75.398172,2.632412
0.020000,184.412720,49.902946,20.235787,44.777963,36.784587,-79.963315,2.626489
0.020000,183.622629,50.353625,21.145378,45.479557,35.079678,-85.245446,2.619822
0.020000,182.824232,50.816547,22.068273,46.144738,33.259066,-91.030603,2.612353
0.020000,182.018726,51.292128,23.003696,46.771155,31.320807,-96.912933,2.604022
0.020000,181.207410,51.780803,23.950817,47.356040,29.244257,-103.827511,2.594768
0.020000,180.391683,52.283033,24.908755,47.896888,27.042418,-110.091976,2.584520
0.020000,179.573058,52.799293,25.876573,48.390900,24.700614,-117.090189,2.573208
0.020000,178.753159,53.330067,26.853279,48.835305,22.220215,-124.019930,2.560755
0.020000,177.933734,53.875848,27.837827,49.227403,19.604944,-130.763557,2.547081
0.020000,177.116646,54.437126,28.829122,49.564740,16.866829,-136.905747,2.532102
0.020000,176.305190,55.013436,29.824408,49.764295,9.977769,-344.453021,2.515756
0.020000,175.503900,55.603313,30.819405,49.749884,-0.720553,-534.916084,2.498021
0.020000,174.717089,56.205200,31.810032,49.531303,-10.929065,-510.425586,2.478884
0.020000,173.948797,56.817442,32.792433,49.120082,-20.561078,-481.600649,2.458355
0.020000,173.202738,57.438285,33.763026,48.529621,-29.523027,-448.097449,2.436462
0.020000,172.482927,58.065268,34.717612,47.729301,-40.016006,-524.648959,2.413279
0.020000,171.792847,58.695825,35.652391,46.738995,-49.515302,-474.964794,2.388912
0.020000,171.134767,59.327921,36.564868,45.623848,-55.757356,-312.102732,2.363474
0.020000,170.510465,59.959471,37.452905,44.401843,-61.100256,-267.145005,2.337103
0.020000,169.921218,60.588361,38.314714,43.090437,-65.570278,-223.501080,2.309967
0.020000,169.367818,61.212455,39.148828,41.705682,-69.237734,-183.372795,2.282256
0.020000,168.850073,61.830252,39.954888,40.303006,-70.133821,-44.804363,2.254154
0.020000,168.366670,62.441319,40.734041,38.957678,-67.266411,143.370512,2.225807
0.020000,167.915895,63.045671,41.487990,37.697451,-63.011347,212.753187,2.197345
0.020000,167.496019,63.643371,42.218430,36.521998,-58.772630,211.935871,2.168900
0.020000,167.105329,64.234511,42.927010,35.428964,-54.651723,206.045333,2.140598
0.020000,166.742156,64.819195,43.615305,34.414752,-50.710562,197.058065,2.112560
0.020000,166.404891,65.397517,44.284785,33.474029,-47.036153,183.720460,2.084899
0.020000,166.091998,65.969547,44.936797,32.600604,-43.671258,168.244721,2.057719
0.020000,165.802027,66.535309,45.572541,31.787164,-40.672011,149.962381,2.031113
0.020000,165.533612,67.094774,46.193063,31.026110,-38.052702,130.965452,2.005159
0.020000,165.285476,67.647843,46.799245,30.309130,-35.848985,110.185807,1.979928
0.020000,165.056420,68.194353,47.391816,29.628514,-34.030791,90.909737,1.955474
0.020000,164.845322,68.734068,47.971345,28.976461,-32.602660,71.406519,1.931842
0.020000,164.651127,69.266688,48.538263,28.345914,-31.527344,53.765838,1.909063
0.020000,164.472843,69.791837,49.092850,27.729360,-30.827725,34.980923,1.887162
0.020000,164.309525,70.309110,49.635293,27.122107,-30.362662,23.253138,1.866150
0.020000,164.160282,70.818027,50.165642,26.517480,-30.231326,6.566822,1.846033
0.020000,164.024254,71.318103,50.683888,25.912300,-30.259024,-1.384883,1.826809
0.020000,163.900623,71.808813,51.189933,25.302236,-30.503193,-12.208494,1.808471
0.020000,163.788604,72.289600,51.683597,24.683218,-30.950886,-22.384608,1.791006
0.020000,163.687436,72.759933,52.164688,24.054531,-31.434344,-24.172945,1.774398
0.020000,163.596391,73.219245,52.632936,23.412397,-32.106731,-33.619351,1.758627
0.020000,163.514763,73.667008,53.088079,22.757161,-32.761785,-32.752700,1.743672
0.020000,163.441872,74.102691,53.529817,22.086906,-33.512743,-37.547886,1.729511
0.020000,163.377069,74.525763,53.957824,21.400330,-34.328807,-40.803210,1.716118
0.020000,163.319723,74.935744,54.371795,20.698577,-35.087642,-37.941725,1.703471
0.020000,163.269232,75.332160,54.771415,19.980965,-35.880578,-39.646808,1.691543
0.020000,163.225020,75.714542,55.156344,19.246448,-36.725869,-42.264548,1.680311
0.020000,163.186536,76.082484,55.526293,18.497479,-37.448445,-36.128796,1.669751
0.020000,163.153252,76.435588,55.880962,17.733435,-38.202193,-37.687384,1.659839
0.020000,163.124673,76.773456,56.220037,16.953748,-38.984377,-39.109234,1.650554
0.020000,163.100324,77.095763,56.543262,16.161251,-39.624852,-32.023711,1.641874
0.020000,163.079758,77.402185,56.850374,15.355601,-40.282479,-32.881372,1.633778
0.020000,163.062555,77.692399,57.141097,14.536148,-40.972658,-34.508966,1.626248
0.020000,163.048321,77.966155,57.415223,13.706297,-41.492545,-25.994323,1.619264
0.020000,163.036686,78.223191,57.672522,12.864960,-42.066836,-28.714572,1.612811
0.020000,163.027309,78.463286,57.912800,12.013908,-42.552639,-24.290119,1.606873
0.020000,163.019871,78.686203,58.135841,11.152050,-43.092868,-27.011453,1.601435
0.020000,163.014081,78.891776,58.341495,10.282719,-43.466584,-18.685843,1.596483
